#{"t_start": 1629392437.85923, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,0.020378
-67.782128,87,0.037585
-197.924394,67,0.050434
-279.513276,105,0.070673
-123.633501,99,0.088885
-334.260422,124,0.113986
-96.12964,68,0.125913
-115.800032,128,0.151033
-122.168452,64,0.16278
-136.090989,102,0.182474
-101.234691,128,0.209715
-116.577897,109,0.23094
-80.139599,70,0.244192
-100.782603,60,0.254728
-111.614655,75,0.268489
-130.79032,79,0.283126
-103.296811,76,0.298059
-296.90333,86,0.31481
66.593887,92,0.334134
-119.317955,89,0.350945
-303.838081,100,0.369797
-47.480419,60,0.380914
-328.251215,93,0.401223
-115.874228,67,0.4138
-124.013335,98,0.43264
-162.400896,114,0.456229
-287.866378,94,0.474365
-117.400556,173,0.69118
-69.997525,73,0.879607
-170.212644,108,1.153186
-202.137258,69,1.340833
-53.313252,81,1.568825
-118.291176,123,1.920382
-72.84635,119,2.224492
-111.433718,80,2.435182
-95.304096,100,2.699311
-207.131599,108,2.988044
-52.098207,94,3.254018
-91.435186,63,3.419998
-91.716827,117,3.725245
-93.70994,80,3.93379
-32.852693,77,4.133611
-106.419672,65,4.306965
-304.580347,102,4.59506
-149.95914,88,4.817225
-158.558098,127,5.139955
-132.679025,84,5.346721
-207.40942,120,5.649901
-123.616615,85,5.858449
-122.076794,80,6.052897
-133.663006,108,6.317163
-46.203259,88,6.529654
-71.66919,89,6.742583
-26.616823,138,7.077057
-35.020614,87,7.277659
-174.065869,98,7.509236
-86.972647,73,7.693887
-179.265343,65,7.854606
-119.752315,85,8.060707
-137.482239,111,8.33231
-152.533585,109,8.597291
-144.952843,67,8.755777
-151.172604,155,9.19016
-93.441046,74,9.390439
-127.849489,95,9.651378
-91.392892,82,9.869842
6.538373,81,10.066756
-136.814072,102,10.319062
-16.755679,136,10.662087
-69.798286,124,10.977375
-56.104495,86,11.190823
-107.502612,129,11.521193
-95.122203,139,11.883588
-145.49917,129,12.208641
-117.814977,92,12.438526
-71.047166,78,12.638376
3.094202,116,12.926469
-119.897357,142,13.2829
-25.593058,136,13.633787
-49.398323,132,13.98209
-42.601591,134,14.316848
-84.823192,93,14.548311
29.15412,164,14.968604
-89.12531,125,15.289707
-81.597278,100,15.548272
-54.741878,142,15.904998
-25.288915,123,16.206238
-28.788972,128,16.52571
-71.297339,138,16.848035
-87.500216,122,17.133858
-59.374554,126,17.425424
-122.695022,107,17.689608
-62.271416,147,18.0493
-71.973323,122,18.330212
-65.308624,143,18.666516
