#{"t_start": 1629395889.1219923, "env_id": "ApolloLanderSolidObstacle-v0"}
r,l,t
-141.062651,67,0.031849
-82.538436,43,0.041044
-86.587352,77,0.055161
-170.144724,132,0.082337
-442.964343,100,0.10475
-345.811837,67,0.117619
-361.985917,139,0.147022
-90.116832,81,0.162875
-140.59999,102,0.182899
-108.055776,70,0.195743
-180.707272,141,0.228079
-384.394176,106,0.249365
-123.790741,124,0.274675
-117.588499,70,0.288448
-110.196082,91,0.309643
-320.548882,87,0.326524
-130.273342,108,0.348084
-322.615378,103,0.369368
-158.538972,90,0.38662
-149.424321,48,0.395107
-125.798832,39,0.40241
-118.67586,106,0.42421
-92.961944,84,0.442281
-158.671872,71,0.455553
-249.195048,62,0.466852
-311.561601,104,0.490103
-130.624238,135,0.522213
-226.788769,76,0.589634
-187.791419,106,0.857203
-83.198578,90,1.081986
-143.129124,74,1.279814
-189.21389,114,1.564331
-95.015795,36,1.650359
-102.555134,106,1.915698
-105.22747,34,1.997752
-112.739467,92,2.236067
-89.119269,56,2.378257
-83.569453,73,2.559415
-254.241831,87,2.776649
-67.238088,66,2.941661
-281.567768,97,3.193747
-126.1716,49,3.32193
-155.49639,95,3.561104
-106.210912,27,3.624876
-117.772511,92,3.853889
-404.53843,72,4.026479
-117.420346,28,4.096092
-148.177496,42,4.202118
-60.3923,62,4.363196
-97.141003,31,4.437796
-152.456817,89,4.663039
-102.571868,116,4.96372
-326.976672,64,5.125888
-201.84908,161,5.557211
-171.67239,123,5.864403
-119.968784,78,6.069559
-164.304311,45,6.182722
0.194257,95,6.428342
-152.725199,118,6.728244
-51.54094,75,6.89657
-137.922701,83,7.085545
-325.877755,66,7.230654
-199.665036,102,7.460351
-168.602488,61,7.597653
-125.626603,72,7.769244
-90.446942,94,7.99844
-92.832493,108,8.260483
-106.388105,75,8.439014
-106.890184,103,8.689553
-117.68824,74,8.875078
-108.402831,113,9.142096
-121.003539,30,9.211981
-189.719381,97,9.444976
-84.519108,73,9.623451
-129.281792,48,9.737652
