#{"t_start": 1629393951.8366559, "env_id": "ApolloLander-v0"}
r,l,t
-141.062651,67,0.024919
-103.782128,87,0.042649
-201.924394,67,0.05584
-279.513276,105,0.07616
-123.633501,99,0.096194
-334.260422,124,0.121714
-96.12964,68,0.133701
-142.800032,128,0.159522
-145.168452,64,0.171854
-136.090989,102,0.193781
-124.234691,128,0.222962
-144.577897,109,0.244575
-103.139599,70,0.25726
-120.782603,60,0.268092
-141.614655,75,0.282514
-149.79032,79,0.297365
-103.296811,76,0.312062
-296.90333,86,0.32801
66.593887,92,0.347206
-119.317955,89,0.363956
-303.838081,100,0.383501
-68.480419,60,0.395224
-328.251215,93,0.414796
-115.874228,67,0.427017
-124.013335,98,0.446523
-162.400896,114,0.470482
-287.866378,94,0.488078
-132.675621,130,0.581047
-236.523552,77,0.767123
-142.825819,90,0.974901
-93.486188,110,1.246618
-69.289274,107,1.49914
-117.680339,112,1.76596
-96.830509,104,2.011584
-60.33834,62,2.15635
-139.938476,100,2.392198
-99.640656,65,2.543801
-90.690591,66,2.700945
-85.945744,76,2.877778
-80.966236,60,3.019768
-80.604281,76,3.201687
-147.594083,77,3.378298
-106.738733,99,3.607706
-225.65769,100,3.836412
-129.808605,92,4.048267
-105.048263,80,4.233193
-123.545792,97,4.456871
-106.938184,104,4.701852
-62.922502,65,4.854728
-157.95912,95,5.079453
-166.089114,103,5.321661
-141.145678,88,5.528573
-73.371731,76,5.706753
-14.710415,140,6.04587
-91.85181,98,6.282769
-67.755201,61,6.430601
-101.388308,82,6.623325
-136.075315,65,6.773551
-135.262371,66,6.929607
-104.619407,116,7.204691
-102.804208,99,7.442493
-113.949799,112,7.717087
-105.321638,104,7.973706
-106.561984,97,8.208705
-66.78669,73,8.384253
-102.601126,85,8.587893
-59.918207,75,8.76263
-100.987683,75,8.944105
-93.221692,76,9.126442
-162.518127,75,9.303397
-154.824894,100,9.540129
-112.264863,117,9.8295
-107.412847,108,10.099507
-106.81392,103,10.355836
-104.694708,72,10.534439
-90.745998,78,10.724321
-89.842084,69,10.887912
-90.385533,63,11.043974
-82.904613,86,11.257661
-97.856973,90,11.480567
-93.424338,147,11.857364
-100.767511,103,12.108137
-96.486815,80,12.304531
-94.490116,63,12.465297
-75.331886,100,12.721728
-50.920464,71,12.89871
-126.18506,78,13.094333
-104.929025,116,13.383496
-67.50613,79,13.573223
-40.881275,100,13.817887
-65.881819,81,14.013393
-147.636544,124,14.304127
-69.319005,67,14.460222
-95.229811,90,14.674901
-121.262722,92,14.899734
-52.570176,81,15.122484
-123.174486,64,15.294945
-118.490595,93,15.527612
-140.245622,87,15.740093
-103.40552,93,15.988787
-83.088557,104,16.249785
-97.891697,113,16.529529
-90.460617,109,16.818155
-73.681347,92,17.048633
-80.916406,86,17.261272
-101.282745,79,17.445342
-54.320486,102,17.691599
-50.287742,76,17.872458
-99.322178,75,18.050566
-203.692106,111,18.313006
-144.158826,108,18.565263
8.245329,150,18.741151
-79.481658,333,18.963621
13.432951,82,19.001818
-18.903336,93,19.045399
-16.813415,94,19.087393
-29.154805,94,19.331624
-60.356159,70,19.510448
-96.378537,96,19.745782
-172.218545,124,20.055128
-97.344832,69,20.226581
-25.014106,120,20.52152
-109.334646,101,20.766942
-62.571357,68,20.929709
-70.45981,83,21.128872
-57.420833,66,21.29088
-38.987421,102,21.538114
-92.870216,80,21.739316
-71.442023,67,21.897051
-42.269895,130,22.209934
-94.842281,125,22.512948
-29.440376,118,22.807741
-68.583626,103,23.060619
-54.655492,124,23.368118
-67.698089,86,23.579948
-61.604027,109,23.850395
-74.493352,89,24.070035
-144.130383,93,24.294457
-53.42045,116,24.573785
-14.734912,129,24.883727
-78.793722,80,25.075852
-90.369921,77,25.264177
-49.655494,70,25.432971
-61.115928,115,25.721879
-70.49732,75,25.907378
-54.79748,106,26.168794
-50.153214,107,26.43652
-61.952892,77,26.632519
-27.598019,115,26.920025
-54.238526,107,27.18017
-45.511765,90,27.404455
-76.541743,80,27.602009
32.08947,164,28.013528
-30.234931,109,28.281809
-54.22904,88,28.500261
-61.307538,81,28.703403
-94.835514,89,28.921594
-55.411684,66,29.083304
-41.956822,119,29.373566
-16.418312,124,29.689105
-64.40724,98,29.927821
23.799556,127,30.258346
-26.4096,105,30.524091
-32.058795,74,30.708173
-61.173673,131,31.059664
-12.633607,101,31.33355
26.221611,139,31.701652
-36.157193,74,31.896513
-13.671008,132,32.244132
-9.336879,89,32.499773
-56.636361,75,32.695821
-21.548184,101,32.961017
-16.915585,131,33.30356
-26.25294,109,33.581476
-16.094731,109,33.869077
-32.020456,105,34.15513
