#{"t_start": 1629396871.773854, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,2.970104
-67.782128,87,2.98415
-197.924394,67,2.99479
-279.513276,105,3.011663
-123.633501,99,3.027241
-334.260422,124,3.048086
-96.12964,68,3.059042
-115.800032,128,3.080865
-122.168452,64,3.090719
-136.090989,102,3.107178
-101.234691,128,3.128415
-116.577897,109,3.146576
-80.139599,70,3.157416
-100.782603,60,3.167485
-111.614655,75,3.179439
-130.79032,79,3.191781
-103.296811,76,3.204267
-296.90333,86,3.217737
66.593887,92,3.234025
-119.317955,89,3.248294
-303.838081,100,3.265109
-47.480419,60,3.274758
-328.251215,93,3.291053
-115.874228,67,3.301484
-124.013335,98,3.317757
-162.400896,114,3.338327
-287.866378,94,3.353373
-117.400556,173,3.605967
-69.997525,73,3.778946
-170.212644,108,4.103773
-202.137258,69,4.262648
-53.313252,81,4.458219
-118.291176,123,4.827316
-72.84635,119,5.170209
-111.433718,80,5.367629
-95.304096,100,5.617601
-207.131599,108,5.990499
-52.098207,94,6.237176
-91.435186,63,6.389805
-91.716827,117,6.70162
-93.70994,80,6.963314
-32.852693,77,7.156835
-106.419672,65,7.315324
-304.580347,102,7.649715
-149.95914,88,7.888977
-158.558098,127,8.225088
-132.679025,84,8.449017
-207.40942,120,8.7804
-123.616615,85,8.996596
-126.398609,80,9.204804
-133.663006,108,9.461101
-46.203259,88,9.686831
-71.66919,89,9.923408
-37.597999,136,10.297092
-126.301225,98,10.525678
-217.270914,96,10.756094
-165.906997,127,11.0611
-41.301234,117,11.340906
-48.957928,141,11.768294
-180.299245,78,12.029666
-69.447519,217,12.610825
-86.746188,85,12.845618
-188.736153,121,13.202518
-5.793417,158,13.714817
-52.488028,124,14.054769
-128.163709,111,14.33286
-194.767659,106,14.62396
-70.255581,105,14.9084
-9.485165,75,15.095278
-75.765286,133,15.456211
-141.287106,114,15.776921
-60.046952,142,16.232258
-0.134326,174,16.754644
-70.370572,168,17.235335
-73.548266,119,17.581827
-12.185444,186,18.128154
-73.420058,64,18.288667
-65.470206,85,18.508625
-76.273155,141,18.862592
-149.390006,106,19.143699
-6.182223,66,19.321848
-66.863741,116,19.712568
-77.576131,162,20.136356
-99.833168,108,20.465531
-113.40164,105,20.807288
-60.115586,85,21.080462
-121.962126,113,21.367747
-56.87933,190,21.856239
-58.359063,102,22.127611
-56.440338,84,22.331556
-75.176168,131,22.72695
-24.487928,117,23.046635
-77.315513,159,23.492138
-85.523159,85,23.797014
-80.998004,71,23.985291
-200.768672,1000,25.336382
-149.583452,1000,26.737158
-135.664554,1000,27.53829
-140.46048,1000,28.713622
-158.576047,1000,30.223778
-19.302609,114,30.578126
-43.527451,201,31.116086
-73.051887,207,31.708142
-18.430706,164,32.17661
-90.245573,144,32.581056
21.21239,183,33.149442
-20.146854,74,33.331733
-56.640839,106,33.677477
-18.164664,105,34.018839
-76.888724,189,34.521304
-124.009653,120,34.908272
-50.338841,368,36.166044
-31.077843,152,36.60744
-36.347701,83,36.872011
15.270716,231,37.525249
-65.619714,110,37.823524
-86.317521,169,38.25228
-4.225717,131,38.619937
-2.837725,149,39.015854
-13.262319,87,39.269378
29.278,195,39.899523
43.561976,151,40.333057
-72.5814,205,40.994635
-30.509416,287,41.872015
21.625013,186,42.435405
31.245145,121,42.827179
-52.725444,1000,46.461726
10.520275,1000,50.623588
-34.473682,1000,54.196516
-164.286954,521,55.83372
46.354072,1000,59.541493
-31.19325,1000,62.931698
-76.354062,1000,64.655228
-34.661019,1000,65.473208
-45.026938,1000,66.486562
-116.216941,1000,67.313627
-56.712457,1000,68.058475
-52.984598,1000,72.095302
-63.766523,1000,75.365695
-24.82983,1000,80.129491
-44.856454,1000,83.932608
-89.698147,1000,87.407307
-41.581849,1000,91.396725
-54.620093,1000,95.512013
-210.411517,665,97.789147
-36.858081,1000,101.228034
-26.329797,1000,105.325513
-4.978531,1000,107.826155
-109.962781,1000,108.555761
-12.091183,1000,109.72576
-35.067853,1000,110.564252
-704.715239,105,110.610607
-48.755047,1000,114.273324
-122.589332,517,116.146583
-130.555779,261,117.00187
-365.660248,993,120.7567
-145.5339,133,121.186664
-86.957559,165,121.642224
-266.113796,505,123.386782
-165.066993,788,125.98082
-218.343991,857,129.160985
7.59114,1000,132.858709
-76.070901,187,133.389521
67.174504,1000,137.503553
65.574711,1000,141.228998
71.106333,1000,145.158243
-106.31791,529,147.006294
101.41053,1000,148.243006
-183.95264,684,148.770051
122.208289,722,149.428133
197.852869,282,149.593634
-163.821904,486,149.946008
266.003072,893,152.86749
-44.39087,1000,157.443562
121.22778,1000,161.116034
62.282866,1000,164.540421
233.439446,436,166.082824
-57.068431,1000,169.77089
137.684725,1000,173.341813
284.758518,395,174.599037
167.311509,411,175.71753
216.895084,464,177.36496
238.348098,462,178.823108
-47.655953,97,179.038576
-151.518089,795,181.79142
8.453356,1000,185.467222
217.723331,307,185.769552
-32.432821,74,185.801179
164.549793,813,186.45669
208.473761,462,186.78026
-627.446998,90,186.819574
148.303292,537,188.711635
250.762554,656,190.777706
273.126198,400,191.989431
-72.721195,98,192.24754
143.688279,804,195.331575
196.845852,596,197.287858
23.568821,1000,201.241369
276.477457,446,202.575477
238.470213,541,204.417601
50.320266,1000,207.847012
-33.447724,426,209.096702
175.688755,488,210.825063
199.434768,463,212.462246
193.728764,585,214.377083
262.309662,327,215.355639
224.61202,528,217.087874
215.238663,422,218.509288
218.619966,349,219.611943
216.891331,205,220.164994
-16.446456,83,220.472655
283.994366,252,220.728428
116.905525,1000,221.51824
228.572472,277,221.665252
235.220589,238,221.788905
265.286654,377,222.014233
-71.820103,77,222.214417
248.304968,177,222.681803
276.883706,358,223.786547
-14.703973,115,224.130511
274.254342,250,224.991359
288.026926,644,227.000266
-78.994333,385,228.271455
240.653109,218,228.95108
52.270712,167,229.404558
264.233199,393,230.633918
274.630965,201,231.282046
-6.93522,121,231.611755
48.676301,104,231.929084
231.640148,708,234.203892
-21.297972,95,234.458548
282.633039,195,235.01716
43.440223,87,235.263328
-16.991799,106,235.559119
236.37578,171,236.007029
-12.775443,79,236.225483
-133.719898,88,236.488599
24.648553,150,236.980247
-27.817608,209,237.568933
-33.815835,179,238.182198
18.596508,66,238.352083
36.294744,77,238.57959
22.177804,88,238.867711
267.930104,501,240.525315
-63.518372,86,240.772238
-10.999412,66,240.959802
-7.182981,171,241.474711
-7.463143,87,241.726621
-32.522378,97,242.006121
9.019108,162,242.493545
-39.901682,100,242.814404
23.591617,97,243.130983
-43.682024,237,243.896388
-63.65683,107,244.206597
-38.163905,89,244.54271
37.051699,98,244.813142
-22.740523,113,245.210013
-216.266129,128,245.559906
-1.1023,75,245.757606
17.014616,111,246.057845
202.851528,284,247.016322
-34.655332,90,247.289921
-38.170729,76,247.500193
-20.467674,64,247.696146
-50.32223,67,247.916461
240.093762,464,249.397238
-45.139474,68,249.573331
-115.902952,100,249.832243
-81.153071,88,250.063718
-203.358857,86,250.307454
-154.282007,97,250.564092
-87.347576,99,250.851799
-10.709874,117,251.219141
35.497717,162,251.683265
10.179407,91,251.948584
40.441416,79,252.185267
12.544977,126,252.555035
8.709303,84,252.612411
248.571537,229,252.732067
-279.332702,160,252.804418
-189.134293,89,252.841656
-256.132106,150,252.906887
22.907916,78,253.211175
267.180733,260,253.985843
-88.109296,82,254.297388
-74.192769,92,254.574089
-7.541605,89,254.872594
313.697922,213,255.60074
-27.224919,79,255.868039
-81.908885,90,256.136557
-201.525257,79,256.348074
-142.158233,71,256.53816
-7.920309,74,256.781599
-167.346422,92,257.071276
18.581779,99,257.341509
-66.800967,91,257.629689
-823.621249,139,258.005439
-37.032329,114,258.307537
-23.150549,86,258.535921
