#{"t_start": 1629400253.5074558, "env_id": "ApolloLanderSolidObstacle-v0"}
r,l,t
-141.062651,67,0.020622
-82.538436,43,0.027884
-86.587352,77,0.03992
-170.144724,132,0.063037
-442.964343,100,0.080244
-345.811837,67,0.09072
-361.985917,139,0.115354
-90.116832,81,0.128489
-140.59999,102,0.145468
-108.055776,70,0.156663
-180.707272,141,0.182681
-384.394176,106,0.200853
-123.790741,124,0.222127
-117.588499,70,0.233305
-110.196082,91,0.248995
-320.548882,87,0.262819
-130.273342,108,0.28139
-322.615378,103,0.299335
-158.538972,90,0.313601
-149.424321,48,0.32099
-125.798832,39,0.326719
-118.67586,106,0.345384
-92.961944,84,0.361351
-158.671872,71,0.37443
-249.195048,62,0.385239
-311.561601,104,0.405869
-130.624238,135,0.432784
-226.788769,76,0.496075
-97.758304,119,0.780553
-139.79461,75,0.952565
-117.623537,83,1.177609
-115.286677,32,1.257905
-329.037639,111,1.543345
-101.376376,108,1.842996
-112.984848,30,1.946835
-303.563947,96,2.271367
-138.221967,77,2.510761
-112.558551,41,2.62669
-95.081427,29,2.698175
-83.923164,92,2.955807
-122.820474,113,3.267807
-64.986101,81,3.473898
-135.346289,76,3.674308
-105.364868,41,3.769313
-88.379731,75,3.983201
-75.392222,87,4.219433
-113.750088,28,4.287899
-137.081019,42,4.409549
-60.3923,62,4.604687
-97.141003,31,4.681846
-292.245401,120,5.0793
-87.544161,77,5.293648
-130.116371,51,5.426579
-80.066923,80,5.673748
-185.331349,102,5.960524
-244.515883,125,6.33967
-182.299476,118,6.660135
-93.883805,75,6.868209
-146.013581,60,7.016275
-112.572371,37,7.137317
-104.925804,43,7.345827
-125.729019,39,7.445901
-124.363194,47,7.59567
-237.341585,95,7.929581
-167.89551,55,8.078994
-11.771992,132,8.454144
-11.236146,117,8.79312
-188.122166,68,8.9806
-107.752079,103,9.315188
-94.00303,31,9.393486
-178.574876,97,9.655942
-93.183401,102,9.954598
-105.120538,87,10.22262
-510.468329,83,10.45839
-375.691595,103,10.724784
-105.218614,103,10.994597
-93.608922,34,11.068113
-125.52154,112,11.401842
-91.539396,75,11.595431
-133.836182,73,11.775873
-143.033399,41,11.859444
-72.249206,109,12.076165
-127.063212,62,12.193787
-80.22288,86,12.359101
-126.874036,61,12.50156
-86.864742,35,12.574769
-84.00954,87,12.786448
-503.301344,76,12.970794
-112.542598,75,13.152539
-158.146587,51,13.276211
-56.431565,96,13.513266
-115.692831,51,13.67276
-94.12035,40,13.773163
-130.764287,109,14.087144
-58.675532,68,14.302295
-55.477269,116,14.631608
-95.686296,102,14.935899
-80.226693,102,15.210846
-106.31328,74,15.396647
-138.364979,30,15.468051
-111.11079,38,15.563798
-83.094911,101,15.82812
-326.077054,74,16.053535
-105.24864,98,16.291088
-123.096874,45,16.407477
-107.990348,97,16.677904
-91.553498,96,17.004611
-485.748825,109,17.355931
-68.937715,115,17.653537
1.190191,100,17.938515
-41.565024,69,18.138999
-81.971792,99,18.44781
-51.567207,106,18.760666
-97.290632,27,18.843162
-39.786291,108,19.122384
-120.310037,43,19.264388
-51.587729,91,19.533967
-67.140744,89,19.71281
-146.464882,82,19.87534
-56.243151,96,20.096656
-68.54974,91,20.373965
-59.516172,116,20.70151
-114.37319,83,20.933803
49.66674,174,21.192499
-44.196711,224,21.299717
-4.47394,215,21.406934
35.051836,222,21.510946
-95.764066,40,21.526286
-113.344504,76,21.752265
-138.702406,35,21.841474
-96.585475,34,21.922577
-169.874809,141,22.259686
-26.947437,106,22.547038
-33.225404,112,22.829854
-431.231474,93,23.106439
-99.643465,33,23.187154
-79.0987,41,23.287784
-132.397557,57,23.423628
-26.251168,114,23.712963
-11.721069,84,23.975898
-118.402702,33,24.083003
-112.214107,38,24.208872
-108.096101,98,24.492091
-92.397781,68,24.695992
-446.202179,81,24.962096
-58.551632,92,25.240575
-92.729346,32,25.330925
-66.013463,111,25.650637
-122.603683,81,25.928387
-94.416414,77,26.170089
-98.22321,70,26.418692
-13.537265,126,26.77133
-92.98319,73,27.000221
-36.057234,111,27.38726
-129.23091,38,27.482207
-54.269899,74,27.670946
-510.875154,114,27.976933
-134.538123,57,28.170131
-106.71596,49,28.300171
-291.988016,94,28.545878
-74.602355,121,28.856748
-43.274443,104,29.157637
-116.825397,67,29.32413
-52.16017,123,29.708925
-118.414281,31,29.789257
-134.049781,62,30.007616
-92.600517,89,30.258593
-442.329397,73,30.448949
-156.120773,98,30.77013
-22.25947,82,31.022654
1.144132,133,31.422939
-166.916759,110,31.763891
-132.796557,81,31.973679
8.83533,77,32.220855
-34.360704,120,32.545398
-72.784165,103,32.80401
-99.405236,97,33.044075
-31.285738,114,33.332508
-132.844984,46,33.446382
-400.672149,76,33.654336
-28.337091,111,33.944885
-34.232997,117,34.263696
2.313419,182,34.760438
-48.91092,103,35.037769
-64.226371,81,35.253796
-0.272348,141,35.643072
-45.232412,153,36.050304
-116.539676,36,36.142173
-113.987565,36,36.275393
-54.636916,97,36.58475
7.592917,103,36.857483
-113.302721,28,36.923405
-12.097153,106,37.229863
-24.08453,77,37.450103
-138.356656,56,37.59628
