#{"t_start": 1629398574.9823282, "env_id": "ApolloLander-v0"}
r,l,t
-141.062651,67,0.022309
-103.782128,87,0.037308
-201.924394,67,0.04845
-279.513276,105,0.066073
-123.633501,99,0.082275
-334.260422,124,0.104056
-96.12964,68,0.115103
-142.800032,128,0.137502
-145.168452,64,0.147776
-136.090989,102,0.165182
-124.234691,128,0.187503
-144.577897,109,0.206963
-103.139599,70,0.218093
-120.782603,60,0.227396
-141.614655,75,0.239943
-149.79032,79,0.252818
-103.296811,76,0.265453
-296.90333,86,0.279523
66.593887,92,0.296282
-119.317955,89,0.310716
-303.838081,100,0.327937
-68.480419,60,0.337864
-328.251215,93,0.354893
-115.874228,67,0.365561
-124.013335,98,0.382515
-162.400896,114,0.40358
-287.866378,94,0.418719
-134.459583,129,0.531663
-157.262199,100,0.864821
-80.874878,91,1.213931
-68.810272,110,1.509423
-96.924094,63,1.68736
-92.363601,84,1.887349
-107.625226,92,2.141758
-132.096845,90,2.367385
-79.865792,110,2.682876
-153.034669,69,2.876702
-185.533937,114,3.200775
-116.01287,91,3.428229
-95.993562,68,3.612707
-126.068364,73,3.819025
-88.474738,99,4.128519
-89.975869,87,4.376252
-96.636973,86,4.608534
-122.233412,99,4.9046
-74.877865,106,5.246131
-78.502798,68,5.456985
-137.547618,90,5.750608
-73.031987,75,5.941775
-307.910177,104,6.202887
-113.295966,67,6.357479
-104.682187,90,6.62244
-217.381327,84,6.834737
-103.269304,81,7.028478
-110.658126,109,7.316948
-112.534615,112,7.586836
-286.547302,125,7.882593
-123.68715,81,8.075044
-77.603806,113,8.350017
-99.025823,97,8.579815
-114.135116,111,8.966168
-89.36259,99,9.232327
-94.57492,63,9.398007
-89.467505,99,9.687356
-185.656539,107,9.975612
-90.672322,68,10.146065
-76.46486,109,10.425843
-105.017174,78,10.664148
-274.509221,122,10.968585
-75.954396,89,11.196361
-83.176599,117,11.490451
-84.845995,96,11.782197
-74.352093,59,11.926912
-123.810241,100,12.181524
-68.334651,107,12.505656
-98.989672,107,12.838959
-56.984991,97,13.146003
-85.807871,78,13.34277
-57.406098,132,13.620436
-82.150706,75,13.848657
-80.425887,91,14.085449
-214.007099,120,14.446526
-50.606935,97,14.717854
-104.651081,87,14.987448
-75.248616,77,15.239379
-75.431186,116,15.618875
-87.308712,84,15.859422
-115.361327,98,16.10548
-62.860943,80,16.312137
-111.2721,100,16.632952
-147.086058,97,16.93728
-55.447301,70,17.160187
-62.62994,81,17.363933
-170.977491,104,17.684439
-51.904368,121,18.02381
-125.269547,98,18.320741
-93.148736,72,18.519605
-11.096653,150,18.887463
-48.268136,107,19.168714
-91.587466,93,19.396168
-71.513738,111,19.672434
-72.295639,69,19.838133
-49.868692,91,20.038218
-63.433447,97,20.23603
-36.530924,108,20.45522
-98.584247,72,20.598121
-98.608679,83,20.798448
211.056438,491,21.235976
50.825673,161,21.31217
18.815172,124,21.367507
223.334561,419,21.645767
176.470138,1000,22.495319
-100.61129,98,22.774296
-70.851868,71,22.983473
12.382905,100,23.249807
-14.30746,110,23.555403
17.004276,89,23.800321
-36.390551,75,23.991265
-8.236026,90,24.221295
-105.364043,111,24.524701
-70.195374,65,24.684186
-135.574051,122,24.982574
-86.045937,85,25.187968
-89.135139,63,25.36232
-28.747236,117,25.653144
-140.966146,66,25.845189
-94.514686,84,26.031748
-61.74652,76,26.26108
-67.600078,60,26.451855
-74.266284,69,26.655372
-127.419463,93,26.883029
-72.1841,105,27.191525
-68.88072,106,27.507961
-18.680332,84,27.747265
107.485522,1000,31.185071
-21.284728,88,31.415005
-55.111407,103,31.720135
-51.76796,68,31.922402
-39.587265,114,32.245125
-36.232434,120,32.632842
-64.358999,72,32.858164
-95.345141,114,33.143461
7.980896,88,33.40633
-101.521554,105,33.693941
-113.778039,102,33.976977
-48.687078,80,34.22421
-15.604388,116,34.562879
6.657812,114,34.869062
18.050466,85,35.103035
-24.646932,84,35.326843
-35.057099,88,35.588449
-18.523926,123,35.925262
-127.191369,93,36.213149
-64.227121,75,36.474662
-39.935153,102,36.777937
7.651545,95,37.05138
-38.662476,88,37.284976
-35.113691,118,37.638011
-21.693101,120,37.967388
-10.329437,106,38.256533
-82.390232,108,38.533076
-84.453709,71,38.716249
-41.4193,84,38.943181
-21.322781,102,39.222962
5.930626,139,39.580689
-10.167502,87,39.800716
-43.655526,99,40.094204
-0.653513,132,40.450633
-70.527067,84,40.729719
-50.046146,92,40.991152
13.884297,129,41.328289
-49.847783,79,41.57627
-18.126027,90,41.819432
-60.90438,92,42.125285
-58.922267,97,42.42485
-27.553362,81,42.647978
-16.221559,130,43.05062
-24.925641,116,43.387103
6.521418,107,43.722603
-42.580404,88,43.994471
-13.671831,108,44.285803
-47.383526,97,44.588392
-40.687502,109,44.936619
1.33058,91,45.266053
149.476563,1000,48.669277
-55.105775,123,49.039692
-50.35273,88,49.332609
-23.237508,116,49.68807
14.143618,138,50.106818
6.086572,79,50.337647
-23.027948,92,50.599006
-26.416987,99,50.880558
23.432039,114,51.226179
242.616536,192,52.361756
261.81666,438,52.661616
25.222499,86,52.698541
284.479529,475,53.026919
217.162758,685,53.579853
-23.041643,84,53.840211
-50.153807,121,54.157495
-38.614862,115,54.486759
-16.172337,114,54.789718
20.642113,216,55.428651
117.109866,1000,58.979799
-13.517809,84,59.227256
-64.197193,102,59.502344
-4.562367,97,59.845347
119.801273,1000,63.452289
-15.312502,114,63.797191
-36.841364,111,64.158753
226.482257,503,65.790527
-41.92694,80,66.026888
199.91553,909,69.40283
-10.20334,130,69.775689
274.206563,451,71.297024
180.894199,595,73.450053
229.047189,179,74.029786
216.862505,565,75.911012
176.312024,937,79.117567
-6.587053,83,79.335826
214.801477,873,82.60895
-254.806021,203,83.315841
-89.971008,1000,87.158664
251.782721,187,88.099613
212.860018,196,88.192839
187.281127,350,88.413878
231.843634,510,88.803824
-518.38088,216,88.906255
1.36882,70,89.098866
-8.704193,1000,93.124266
-49.050003,108,93.442542
249.48646,312,94.347735
-26.828265,1000,98.224942
-51.380179,139,98.645932
247.720374,434,100.108089
8.531404,80,100.349119
261.789191,379,101.627941
251.43726,954,105.422496
-28.093968,145,105.827335
26.352293,131,106.209674
-25.753314,136,106.583108
-36.683434,1000,110.320225
236.598827,331,111.382141
236.519273,232,112.104822
253.854263,684,114.425398
11.254824,102,114.643179
251.452394,544,116.197016
-34.109603,75,116.386803
-53.149407,1000,120.033425
243.886008,310,120.884587
217.379975,394,124.316905
253.587108,164,124.391743
163.391348,1000,125.06398
275.725041,197,125.160283
213.757429,391,125.444919
-27.090892,75,125.651039
19.539536,99,125.918257
294.694249,492,127.297779
44.392638,98,127.589083
-169.488002,946,130.84675
11.40633,100,131.195722
195.930282,637,133.337153
-11.479228,151,133.729712
91.483532,1000,137.584137
31.81173,80,137.810819
190.887944,655,139.876321
-5.140429,88,140.132628
13.006852,1000,143.718574
201.064599,813,146.536824
215.83683,354,147.601635
279.748874,290,148.609624
269.436841,208,149.23024
11.421964,82,149.470751
181.731952,491,151.191018
37.206236,84,151.424116
-148.46548,255,152.221952
171.794181,366,153.369503
-52.021483,145,153.777254
224.112151,401,154.956141
142.985148,893,158.354088
250.119921,237,159.083682
285.600851,222,159.211736
168.27167,524,159.536515
-69.113739,214,159.648576
237.655941,151,159.716643
277.175582,467,161.254553
138.509711,502,163.00974
-19.171383,114,163.376921
159.816779,845,166.404189
279.018294,532,167.983612
254.730529,631,170.104137
248.55618,307,171.092146
229.812129,668,173.471004
26.391286,79,173.709206
270.35996,242,174.455639
-2.322185,126,174.816471
24.439351,125,175.148908
27.040828,119,175.503301
11.181162,100,175.852425
264.297439,971,179.005826
233.318412,518,180.798025
162.912094,1000,184.000871
202.413431,367,185.318332
16.403281,87,185.551885
264.713743,314,186.663184
234.976688,338,187.761878
125.3354,1000,191.017351
240.451059,529,192.556127
255.848033,217,192.706998
214.82885,754,193.457225
164.355097,329,193.646168
258.242055,190,193.734159
254.886381,188,193.822359
140.510695,1000,197.150745
116.860356,1000,200.921492
-120.805006,94,201.177102
0.585525,152,201.614643
215.371456,240,202.401738
-16.953012,111,202.747107
254.892625,428,204.17545
197.838765,232,204.880818
261.954854,700,207.156297
195.226771,614,209.275652
228.491509,479,210.961322
-55.560648,343,212.09771
268.307065,441,213.427514
225.958437,781,216.17707
215.446295,730,218.733634
291.671443,634,220.738302
15.501152,213,221.382033
234.199653,285,222.219726
124.986096,1000,225.872323
-11.42809,120,226.168908
171.546041,376,227.703276
203.751818,337,227.913259
200.696763,247,228.040802
297.915771,813,228.857643
-330.519806,920,229.796806
-39.146437,96,230.146419
226.43736,305,231.149395
252.604528,413,232.438747
218.020029,206,233.038667
233.772987,550,234.929605
123.724952,749,237.985581
138.130479,1000,241.161342
3.746169,74,241.351169
285.769214,579,243.147924
9.617654,156,243.602667
199.824903,258,244.39822
208.47955,293,245.304154
242.044762,657,247.640384
263.619002,677,249.929693
267.739106,407,251.292847
277.141235,324,252.248491
151.720745,393,253.565582
277.996487,517,255.508138
230.897433,392,256.904599
218.486852,227,257.599367
162.280632,389,258.786645
296.972267,307,259.652496
230.290768,376,260.840621
273.400144,330,261.821221
242.532755,265,262.617577
75.870317,234,262.925228
275.823925,239,263.042262
221.756606,248,263.181513
195.572448,257,263.32323
239.447635,425,263.596622
295.883196,406,264.781438
187.514505,369,266.033085
282.004681,430,267.511599
209.063342,270,268.466881
256.178784,261,269.280042
14.870316,149,269.714402
221.141432,337,270.957725
221.890287,373,272.035391
233.538109,251,272.731164
206.366862,414,273.979015
81.404545,1000,277.376076
195.894794,565,279.304788
216.867478,602,281.298984
161.97994,553,283.238457
285.863351,435,284.671771
245.827961,238,285.320022
-254.719109,323,286.333548
256.019169,349,287.288758
-200.941188,106,287.606748
-334.18817,103,287.893646
278.762572,353,288.886537
285.012873,618,290.998894
255.959276,354,292.116271
224.855751,275,292.951164
240.921679,506,294.717288
306.895277,237,296.080517
159.859922,1000,296.702338
252.596407,232,296.817304
300.725517,208,296.916466
273.50467,267,297.061337
276.912313,340,298.183406
283.283704,518,299.974884
-24.236333,115,300.307366
266.571673,347,301.349265
271.026157,304,302.232266
238.170442,413,303.480297
249.776227,335,304.632731
-71.719428,135,305.127785
74.261991,1000,308.530132
221.925274,470,310.150087
204.74267,525,311.73641
279.105467,602,313.812885
-27.525635,128,314.226586
294.024367,310,315.205579
231.218708,326,316.158023
117.690731,1000,319.514045
251.372209,930,322.581536
298.584272,453,324.158832
-359.712506,57,324.351754
-175.691779,166,324.889268
23.283724,144,325.361986
233.651741,275,326.269583
-20.834673,82,326.520192
4.470016,169,327.03968
199.036099,848,329.764766
267.612113,288,329.9647
79.09975,1000,330.956412
285.834688,211,331.053573
63.592318,166,331.129806
-964.773668,132,331.189726
192.275006,1000,334.606072
244.643925,556,336.432672
216.512576,300,337.389678
113.949454,517,339.273716
-47.862236,93,339.560119
194.588264,423,341.033149
17.830801,101,341.33799
208.852802,505,343.075686
-48.362886,97,343.321223
2.490656,151,343.733871
266.84978,240,344.420937
29.09807,115,344.744743
-53.684089,112,345.037665
-12.684433,120,345.352154
-295.900262,85,345.573669
205.674555,360,346.612458
-2.667595,117,346.922678
-50.58309,88,347.163791
123.101733,1000,350.41897
252.692359,471,351.986919
297.219847,291,353.007439
295.321848,244,353.709594
33.216326,113,354.059277
130.005936,1000,357.783936
271.498678,815,360.426513
-9.838987,151,360.818841
-19.677125,144,361.214656
-914.170006,156,363.947005
222.455813,204,364.048032
290.489412,240,364.169889
30.882437,143,364.231161
13.671232,138,364.288775
296.722516,884,367.232277
107.763737,1000,371.297036
25.425341,98,371.628968
10.100063,96,371.899055
-5.153725,101,372.189932
-1.775747,109,372.450566
229.478561,799,375.104409
-528.678603,336,376.2828
26.276502,139,376.680968
-122.378271,361,377.879239
230.50427,358,378.936062
244.977812,260,379.696679
52.801158,172,380.174748
292.776158,453,381.594033
-69.374895,94,381.872411
245.164589,337,382.947994
-7.874809,124,383.313431
240.789014,485,384.90536
241.841283,304,385.889293
247.179907,617,387.931531
-16.248351,96,388.227215
257.618706,388,389.456029
-24.896186,99,389.803785
298.561973,579,391.554682
225.324595,583,393.462914
230.897807,300,394.385714
-8.63288,139,394.823303
221.991772,324,395.791359
276.271098,367,397.203559
281.676622,338,397.394785
185.295399,1000,398.184837
239.950415,247,398.307684
233.231901,208,398.407248
235.606775,290,399.343807
256.741921,205,400.016529
247.904929,361,401.043134
-11.398674,88,401.292981
274.893386,348,402.288389
4.756854,96,402.573966
297.753494,525,404.385551
5.144086,100,404.690047
-28.339951,107,405.021295
254.288801,339,406.033934
-16.36956,98,406.386222
284.336454,808,409.088457
249.220941,345,410.293422
246.383051,237,410.976984
260.319384,269,411.760821
237.097096,403,413.083532
-57.518257,150,413.520304
116.347403,1000,416.751589
21.54132,207,417.321538
245.743954,352,418.365694
233.615091,396,419.528599
211.077611,406,420.734239
230.990418,368,421.869981
235.888302,253,422.560456
248.036129,313,423.543512
239.542401,442,424.991847
295.999124,611,427.112949
224.802997,657,429.256156
186.015507,402,430.178084
187.753449,321,430.349801
130.992818,1000,431.484646
123.104525,1000,432.339368
215.678868,788,432.924052
222.757366,251,433.750628
-47.203266,226,434.464199
227.594606,376,435.79157
261.935309,680,438.284688
231.837868,523,440.050739
268.417609,278,440.965866
249.458089,234,441.576458
6.659809,117,441.902616
229.799646,233,442.582032
-11.121204,138,443.00698
41.766692,131,443.420589
169.074512,457,444.872485
