#{"t_start": 1629134168.3612752, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,3.390555
-67.782128,87,3.638885
-197.924394,67,3.830257
-279.513276,105,4.215047
-123.633501,99,4.564856
-334.260422,124,4.940855
-96.12964,68,5.113713
-115.800032,128,5.538875
-122.168452,64,5.733237
-136.090989,102,6.027263
-101.234691,128,6.502341
-116.577897,109,6.819635
-80.139599,70,7.101466
-100.782603,60,7.361994
-111.614655,75,7.648681
-130.79032,79,7.901936
-103.296811,76,8.158406
-296.90333,86,8.484365
66.593887,92,8.815341
-119.317955,89,9.090689
-303.838081,100,9.373485
-47.480419,60,9.549245
-328.251215,93,9.839132
-115.874228,67,10.016667
-124.013335,98,10.273728
-162.400896,114,10.623093
-287.866378,94,10.950994
-29.70943,133,11.368192
-252.836647,95,11.660266
-287.972794,93,11.93276
-82.009008,71,12.171354
-262.687141,126,12.572566
-78.557795,63,12.760412
-274.144437,107,13.073493
-125.051999,94,13.370389
-92.124445,56,13.530499
-82.853717,76,13.744597
-181.188024,102,14.051701
-179.80773,102,14.413651
-154.844479,128,14.799074
-333.16698,112,15.165439
-208.017131,120,15.539343
-127.792325,86,15.758777
-271.997399,102,16.062231
-312.392888,87,16.313418
-261.328635,113,16.695096
-256.664426,119,17.051784
-365.040159,92,17.333941
-248.489123,104,17.658347
-119.092731,90,17.918364
-131.348908,90,18.175946
-89.509867,63,18.355969
-135.943539,68,18.552586
-122.186595,90,18.836074
-110.902424,91,19.104006
-95.616854,113,19.44795
-102.160673,63,19.63219
-131.52896,145,20.112748
-177.782549,90,20.373823
-163.841573,71,20.614984
-178.494138,74,20.831101
-73.17638,62,21.058069
-106.686439,110,21.399165
-85.800789,64,21.616532
-85.664052,57,21.781531
-123.832024,60,21.954852
-307.309531,105,22.263721
-115.839116,67,22.441476
-118.449117,101,22.819202
-254.32054,117,23.147331
-135.781423,86,23.399798
-283.584895,88,23.652142
-125.638122,64,23.838872
-91.615657,62,24.051032
-108.867398,69,24.253179
-69.418565,60,24.44831
-122.377953,86,24.726593
-86.816323,71,24.953245
-104.034209,98,25.301306
-76.01358,66,25.514926
-121.637937,67,25.69101
-84.2505,61,25.896284
-186.197601,86,26.158226
-177.575971,75,26.442235
-345.773867,85,26.698323
-197.098837,111,27.046044
-161.023907,62,27.215876
-68.044963,65,27.454142
-130.902007,104,27.779956
-138.88501,101,28.055341
-351.218908,76,28.286584
-334.300381,129,28.659581
-229.606839,103,28.949362
-375.870069,95,29.237019
