#{"t_start": 1629288878.7242231, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,2.964267
-67.782128,87,2.979574
-197.924394,67,2.990911
-279.513276,105,3.008847
-123.633501,99,3.025275
-334.260422,124,3.046032
-96.12964,68,3.056719
-115.800032,128,3.079396
-122.168452,64,3.089274
-136.090989,102,3.10656
-101.234691,128,3.127413
-116.577897,109,3.145156
-80.139599,70,3.155726
-100.782603,60,3.164822
-111.614655,75,3.176916
-130.79032,79,3.189931
-103.296811,76,3.201959
-296.90333,86,3.215852
66.593887,92,3.233712
-119.317955,89,3.249961
-303.838081,100,3.268633
-47.480419,60,3.278458
-328.251215,93,3.294587
-115.874228,67,3.304691
-124.013335,98,3.322006
-162.400896,114,3.343771
-287.866378,94,3.359401
-29.70943,133,3.384104
-252.836647,95,3.400727
-287.972794,93,3.416142
-82.009008,71,3.427726
-262.687141,126,3.44889
-78.557795,63,3.459281
-274.144437,107,3.478462
-125.051999,94,3.494366
-92.124445,56,3.503612
-82.853717,76,3.515691
-181.188024,102,3.53191
-179.80773,102,3.548634
-154.844479,128,3.571096
-333.16698,112,3.589201
-208.017131,120,3.609761
-127.792325,86,3.624524
-271.997399,102,3.642948
-312.392888,87,3.657104
-261.328635,113,3.676527
-256.664426,119,3.696371
-365.040159,92,3.71273
-248.489123,104,3.729621
-119.092731,90,3.744548
-131.348908,90,3.759431
-89.509867,63,3.768361
-135.943539,68,3.778468
-122.186595,90,3.792989
-110.902424,91,3.808529
-95.616854,113,3.829027
-102.160673,63,3.838664
-131.52896,145,3.866172
-177.782549,90,3.881416
-163.841573,71,3.893323
-178.494138,74,3.905948
-73.17638,62,3.916234
-106.686439,110,3.935091
-85.800789,64,3.945758
-85.664052,57,3.954564
-123.832024,60,3.963914
-307.309531,105,3.982969
-115.839116,67,3.994474
-118.449117,101,4.01115
-254.32054,117,4.031691
-135.781423,86,4.045623
-283.584895,88,4.060025
-125.638122,64,4.070559
-91.615657,62,4.080615
-108.867398,69,4.090936
-69.418565,60,4.099194
-122.377953,86,4.11278
-86.816323,71,4.123694
-104.034209,98,4.141429
-76.01358,66,4.152011
-121.637937,67,4.162794
-84.2505,61,4.172421
-186.197601,86,4.186944
-177.575971,75,4.199843
-345.773867,85,4.213994
-197.098837,111,4.232139
-161.023907,62,4.242156
-68.044963,65,4.25256
-130.902007,104,4.27022
-138.88501,101,4.287173
-351.218908,76,4.299451
-334.300381,129,4.322177
-229.606839,103,4.340179
-375.870069,95,4.355967
-337.08505,88,4.369856
-117.555136,102,4.386888
-233.41435,146,4.414587
-115.308426,73,4.425731
-132.40928,84,4.439988
37.836105,128,4.463867
-134.777743,81,4.483043
-240.952869,129,4.505363
-237.530196,78,4.51754
-421.038689,100,4.534988
-157.213328,87,4.549795
-86.308664,56,4.559108
-111.930601,115,4.578814
-132.005735,87,4.593607
-111.205109,80,4.606938
-318.87239,97,4.623903
-364.281915,92,4.638641
-151.245772,125,5.084607
-76.141068,67,5.095652
-86.639086,109,5.11607
-384.541432,124,5.138308
-400.427212,83,5.152028
-207.75913,92,5.166727
-284.909195,109,5.184574
-121.004284,110,5.202219
-323.470634,100,5.218654
-342.607743,101,5.236334
-95.479746,99,5.25533
-107.904394,146,5.28207
-347.393729,114,5.30279
-403.240599,107,5.320575
-449.603639,92,5.335904
-218.575895,105,5.354089
12.386403,1000,6.012361
-101.326619,58,6.021669
-330.810174,105,6.041405
-234.727704,86,6.056562
-128.207179,91,6.071823
-468.022923,85,6.086888
-231.730988,108,6.1055
-105.559754,83,6.119807
-289.730017,105,6.138395
-66.356879,67,6.15004
-123.882046,73,6.161801
-48.661271,77,6.174967
-117.612516,96,6.190413
-209.798914,95,6.206305
-193.883885,93,6.221897
8.582177,90,6.238221
-253.98714,87,6.254531
-73.352694,65,6.265746
16.703492,80,6.279629
-147.060814,95,6.296996
-162.11142,90,6.312744
-166.983838,65,6.323546
-118.117508,108,6.342387
-182.933175,145,6.369302
-352.709211,102,6.386785
-178.537864,65,6.397402
-62.240421,63,6.407559
-94.55158,82,6.422069
-99.131069,72,6.433665
-153.879905,130,6.457186
-291.163666,78,6.470699
-294.220684,98,6.487186
-217.356122,61,6.497462
-98.493374,80,6.510067
-88.538889,64,6.520806
-57.50932,68,6.532066
-89.950753,83,6.545668
-94.100015,85,6.559382
-183.61094,128,6.582546
-88.910454,121,6.605417
-169.537732,92,6.621411
-92.233474,70,6.633637
-587.334042,93,6.650136
-160.947911,87,6.665341
-107.770231,90,6.680184
-297.380198,73,6.692649
-79.827676,58,6.701931
-73.382265,72,6.713552
-319.993226,91,6.730526
-428.91044,108,6.750848
-313.004769,101,6.768316
52.559015,83,6.783015
-69.656535,78,6.796482
-84.356997,64,6.80685
-251.118735,94,6.824091
-124.6522,97,6.841504
-127.694771,90,6.856308
-262.224028,106,6.875169
-121.436467,89,6.890474
-355.060313,96,6.906956
-135.649343,92,6.92232
-430.866123,101,6.941062
-245.074315,103,6.960108
-28.835589,95,6.976758
-252.713278,111,6.996676
-124.812088,114,7.017068
-104.439201,71,7.029378
-278.087605,88,7.044172
-77.893151,99,7.062793
-392.626793,83,7.07675
-166.447479,107,7.095383
-197.969103,82,7.109283
-79.099465,61,7.120193
-235.595896,111,7.140949
-138.091115,84,7.154869
-210.314783,101,7.173098
-289.919398,108,7.19328
-87.368428,140,7.221823
-167.064128,75,7.234843
-67.559876,87,7.252276
-80.958536,76,7.264842
-202.146426,128,7.289713
-282.582447,154,7.638737
-272.001547,82,7.653544
-164.197887,106,7.672252
-69.925523,77,7.68505
-302.99796,89,7.700192
-437.232977,94,7.71399
-195.789646,75,7.72602
-453.573007,95,7.74079
-293.452567,75,7.75343
-137.70036,96,7.769278
-255.370873,115,7.788572
-134.624031,98,7.804466
-328.416817,108,7.822154
-110.524496,64,7.832103
-192.579695,93,7.846619
-134.586455,125,7.869423
-127.223363,81,7.883276
-139.78999,120,7.905005
-85.530154,96,7.9221
-473.085232,88,7.937522
-136.639932,71,7.94945
37.508338,97,7.968483
-156.918014,82,7.982219
-114.28203,92,7.998776
-138.979129,58,8.008536
-108.445857,86,8.022966
-127.031832,89,8.038785
-254.399052,100,8.057127
-116.989169,85,8.07174
-278.436459,115,8.093874
-114.976665,76,8.106085
-266.863739,101,8.123575
-140.229314,122,8.147593
-425.140113,104,8.165985
-158.904566,83,8.179295
-302.571646,111,8.198632
-7.829306,88,8.212705
-238.498835,71,8.224125
-389.837034,92,8.238277
-81.893311,103,8.257366
-367.292292,76,8.271167
-104.823588,106,8.289854
-191.315564,74,8.302626
-221.428533,83,8.316832
-71.600168,66,8.328073
-358.995028,78,8.341228
-305.860025,83,8.356065
-193.696238,69,8.367375
-133.503795,67,8.378732
-112.009082,78,8.39221
-105.093595,111,8.412099
-69.75087,65,8.42276
-136.483661,66,8.433574
-92.216546,65,8.443329
-149.98433,74,8.456046
-151.6044,70,8.467756
-201.505984,125,8.604548
-168.11719,111,8.975035
-110.206329,92,9.235065
-67.047653,79,9.435425
-31.33753,73,9.680178
-117.600161,169,10.169056
-51.491189,126,10.582864
-128.297672,136,10.915878
-110.992517,103,11.203345
-108.899732,117,11.469773
-173.600996,79,11.671003
-142.83322,139,12.114273
-88.44554,143,12.476866
-124.730528,152,12.77995
-99.059509,117,13.035866
-46.016249,81,13.276113
-95.561591,95,13.537571
-37.782917,87,13.811458
-184.184882,122,14.106249
-134.198686,60,14.251951
-138.719318,102,14.490938
-104.72148,91,14.714214
-109.837443,87,14.949141
-190.553208,144,15.328817
-44.318479,81,15.524112
-105.268568,118,15.882099
-48.787458,114,16.173361
-75.386739,74,16.393444
-499.057995,145,16.749833
-121.01111,91,16.986766
-121.778326,105,17.233051
-67.989027,99,17.477448
-119.946409,95,17.703248
-67.935015,136,18.058161
-103.708505,152,18.457408
-32.409752,86,18.6935
-120.143652,73,18.86889
-14.425539,96,19.107673
-74.688936,84,19.342481
-85.69242,96,19.579458
-54.155162,113,19.880551
-32.372737,116,20.174353
-78.657002,100,20.447071
-86.741342,162,20.865334
-128.526206,150,21.296748
-122.594837,133,21.649639
-152.268745,114,27.112792
-76.492564,86,27.334331
-80.161502,137,27.700125
-57.037448,115,28.03812
-231.928072,164,28.485016
-94.123351,70,28.690531
42.201602,130,29.06636
-251.266144,142,29.412334
11.107661,117,29.735721
-74.047984,78,29.9821
-45.837164,79,30.18598
-24.245329,115,30.545217
-106.676052,96,30.900391
-207.203967,128,31.315061
-108.982031,67,31.509971
-99.788798,158,32.017376
-43.605811,79,32.279635
-97.991484,129,32.72526
-26.686436,194,33.404523
-24.194497,130,33.854517
-113.628807,114,34.27818
-136.360574,94,34.583458
-124.598979,132,34.998145
-59.320407,114,35.374766
-30.947372,76,35.611396
-69.106892,140,36.02464
-61.038927,81,36.232199
-53.390665,203,36.815686
-40.796902,102,37.087699
-76.577119,140,37.489571
-139.832254,116,37.901648
-182.656944,133,38.390002
6.753646,110,38.736366
-29.434095,88,38.993054
-128.465413,204,39.495924
-103.571029,122,39.875167
-234.676134,110,40.273599
-53.257444,157,40.875865
-42.594844,71,41.071013
-81.070381,114,41.348143
-82.434762,169,41.853012
-28.935423,155,42.273576
-52.978305,134,42.73895
-93.609867,79,42.957627
-21.298769,105,43.288472
-45.167281,83,43.547142
-92.041986,103,43.839808
-68.729971,84,44.09605
-66.800723,77,44.392446
