#{"t_start": 1629133942.58016, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,5.367692
-67.782128,87,5.629542
-197.924394,67,5.839617
-279.513276,105,6.165464
-123.633501,99,6.441934
-341.306715,121,6.805178
-279.443374,106,7.101717
-220.726961,119,7.470525
-92.462299,62,7.673629
-83.780137,125,7.981832
-119.171377,58,8.118951
-106.117294,86,8.337327
-355.193499,111,8.64477
-15.791495,62,8.820044
-234.27654,94,9.082192
-126.038973,63,9.26764
-198.716163,76,9.482062
-14.622863,98,9.781737
-395.136469,110,10.13509
-116.955247,95,10.408486
-55.50535,64,10.590965
-110.534907,58,10.762221
-81.973181,66,10.943099
-278.252624,86,11.147916
-212.335952,85,11.347577
-440.152736,89,11.559818
-91.401817,89,11.832677
-81.810063,94,12.095709
-84.10062,80,12.344293
-100.776221,100,12.629182
-26.127502,100,12.908373
-134.373254,79,13.128138
-91.553606,87,13.367664
-194.420663,201,13.939492
-106.391049,95,14.207775
-295.386651,101,14.515551
-84.098749,72,14.743225
-344.479815,105,15.018254
-254.554614,113,15.342722
-143.69178,93,15.631868
-202.114476,93,15.942374
-196.723462,99,16.236709
-131.281494,78,16.496277
-148.650234,108,16.800086
-49.456147,130,17.161366
-161.290842,72,17.36823
-210.56634,100,17.648716
-164.982479,72,17.870602
-359.265652,86,18.103285
-322.154738,108,18.382998
-76.149246,137,18.823486
-77.218582,106,19.170154
-89.039621,110,19.505977
-325.406787,103,19.802962
-585.81481,120,20.153305
-222.275628,98,20.38492
-203.808147,82,20.578124
-91.255472,79,20.789348
-219.333554,61,20.98315
-121.546891,116,21.413748
-255.505292,133,21.870024
-112.459826,84,22.108315
-153.561843,99,22.423738
-250.136259,89,22.688335
-176.383284,123,23.072392
-175.54715,131,23.481501
-159.438431,114,23.823276
-317.605155,108,24.131325
-72.227907,115,24.463363
-348.823726,90,24.75228
-186.292038,109,25.060226
-217.927453,121,25.408146
-268.198394,114,25.735995
-234.40486,118,26.037651
-178.382124,89,26.268639
-226.035176,75,26.479583
-48.046545,90,26.733297
-59.433882,73,26.938767
-457.366932,127,27.295086
-250.265446,88,27.559012
-98.070855,64,27.754349
-184.238548,98,28.054287
-222.790327,111,28.409867
-316.204502,108,28.740208
-274.975117,96,29.028658
-390.036535,80,29.244293
-127.840505,63,29.418369
-238.682569,74,29.598025
-80.770927,72,29.805192
-235.926729,126,30.182288
-325.515978,166,30.656716
-387.566076,104,30.981524
-486.693088,103,31.331398
-52.885657,121,31.718322
-397.17843,104,32.039191
-72.066588,142,32.518149
-287.692567,98,32.847862
-290.070374,138,33.313764
-354.196033,103,33.604044
-402.903194,133,33.995253
-92.763064,86,34.237865
-609.497199,102,34.546681
-558.800003,59,34.570563
-623.186672,68,34.598104
-861.464021,84,34.632844
-756.192552,75,34.663319
-381.869763,90,34.920923
-347.033726,93,35.182035
-174.362736,61,35.393762
-176.373357,87,35.649356
-145.241183,72,35.853331
-248.819165,85,36.102269
-211.078747,69,36.296503
-367.202094,67,36.493202
-229.088025,102,36.795858
-489.990408,97,37.066843
-326.363221,109,37.389349
-483.724985,97,37.664999
-293.976341,103,37.973658
-278.794733,87,38.256391
-233.985187,65,38.435869
-297.268902,82,38.66726
-470.772145,80,38.863842
-321.376057,101,39.155781
-163.245932,60,39.36759
-96.067758,62,39.567609
-376.497943,76,39.816482
-227.226875,63,40.010854
-222.358524,71,40.211016
-391.430372,82,40.431018
-167.153707,65,40.638023
-522.6238,98,40.91433
-303.963305,111,41.228302
-143.250072,90,41.484931
-548.189568,106,41.819695
20.092821,83,42.023889
-432.479381,83,42.292111
-448.30027,92,42.564746
-344.870363,93,42.824605
-336.815667,81,43.048948
-482.228602,81,43.266359
-386.541387,82,43.465484
-595.718704,75,43.668279
-528.504639,81,43.882839
-129.491735,62,44.067435
-104.811685,58,44.240112
-261.099947,104,44.584288
-442.206516,98,44.870035
-311.810289,100,45.187678
-504.453186,83,45.444805
-122.228023,72,45.686447
-471.436108,92,46.030721
-336.871985,105,46.305046
-410.79597,109,46.575113
-433.48646,77,46.802136
-338.421419,101,47.16219
-272.601581,81,47.503097
-574.622837,103,47.796773
-280.470454,60,47.985611
-356.780022,78,48.25435
-495.720146,96,48.578545
-333.543158,83,48.815818
-531.202082,93,49.08212
-111.76881,63,49.264919
-172.979829,92,49.582348
-286.782214,64,49.785687
-167.127025,106,50.106504
-558.383977,95,50.383863
-403.591248,75,50.606031
-138.09727,64,50.809318
-495.266823,89,51.062999
-127.729871,55,51.219655
-14.864668,75,51.434648
-516.087173,76,51.647096
-34.067413,89,51.865587
-386.433342,77,52.051208
-391.237371,63,52.206109
-353.637003,61,52.417323
-353.673468,95,52.684649
-224.202711,68,52.87679
-403.975447,82,53.154655
-493.724039,100,53.46244
-86.017089,69,53.698628
-228.769743,89,53.962417
-342.495043,71,54.172578
-277.183131,72,54.377794
-201.970868,78,54.600523
-285.823972,73,54.808508
-434.967398,76,55.023247
-477.583447,95,55.296479
-638.769716,94,55.565491
-292.765353,74,55.775469
-477.656899,80,56.002173
-270.118027,64,56.182815
-285.225835,79,56.403195
-211.026609,85,56.663726
-488.779701,78,56.896041
-464.87258,94,57.149587
-119.080962,59,57.293405
-371.6081,93,57.566483
-209.932549,72,57.782945
-440.566227,90,58.029271
-518.188183,90,58.255998
-193.368578,57,58.39602
-266.211837,84,58.596351
-634.654172,91,58.836444
-497.291438,80,59.064116
-419.922049,61,59.238114
-404.647086,95,59.534646
-532.424521,88,59.79553
-606.494279,77,60.071853
-489.903166,91,60.352105
-364.003442,62,60.528408
-592.273218,97,60.811554
-526.509547,89,61.039098
-250.141586,93,61.273678
-331.677278,87,61.494095
-381.059454,77,61.737603
-238.518905,77,61.959262
-477.451857,73,62.169363
-585.017424,94,62.438695
-543.839855,73,62.617759
-413.591466,99,62.859061
-266.664874,87,63.071755
-209.175041,57,63.235823
-401.871946,93,63.501967
-390.865265,74,63.713618
-538.324162,60,63.863375
-318.707989,52,63.884001
-379.699968,52,63.904408
-699.141459,72,63.933681
-434.19739,58,63.956734
-134.576957,65,64.168096
-210.093743,73,64.382562
-207.719461,60,64.579997
-519.756199,93,64.848833
-554.440762,85,65.118656
-572.930739,87,65.414085
-414.900905,114,65.744945
-327.409444,68,65.949358
-416.744744,77,66.189628
-220.699598,59,66.359593
-622.492961,86,66.609604
-411.738046,86,66.850752
-480.797115,89,67.09048
-530.770686,84,67.315786
-150.300811,61,67.467387
-229.728601,77,67.691161
-526.908479,98,67.981841
-520.07155,78,68.2067
-446.195709,95,68.504512
-242.848624,73,68.737146
-249.855084,60,68.934216
-240.266326,75,69.148099
-474.150812,84,69.392765
-483.803886,63,69.577454
-455.049852,101,69.892468
-360.65774,83,70.149809
-260.607031,74,70.363049
-526.563153,88,70.63306
-414.479798,94,70.894854
-249.422795,100,71.164258
-536.646811,107,71.461234
-209.758812,60,71.635941
