#{"t_start": 1629135253.6298149, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,5.157559
-67.782128,87,5.449315
-197.924394,67,5.695869
-279.513276,105,6.082635
-123.633501,99,6.408325
-407.431528,129,6.779965
-93.890674,66,6.963297
-160.415844,117,7.303
-92.881804,85,7.541537
-136.022441,72,7.796274
-25.801919,72,8.077507
-114.968565,101,8.382797
-222.287904,133,8.834309
-353.691674,102,9.1311
-319.126738,91,9.416065
-273.232125,69,9.585975
-230.797852,103,9.915345
-246.252801,108,10.244849
-379.303138,122,10.582432
-155.410279,80,10.818083
-131.556892,89,11.046272
-181.961266,75,11.258672
-139.93435,83,11.540271
-71.058108,74,11.781285
-486.985916,89,12.004288
-246.63295,107,12.412399
-209.666579,92,12.730032
-113.08745,69,12.935876
-77.380618,64,13.166616
-135.659158,95,13.442481
-323.370189,106,13.810202
-378.765624,147,14.382203
-99.345615,57,14.537863
-193.347241,66,14.751463
-411.711473,109,15.134737
-145.611374,93,15.538562
-111.030295,100,15.843594
-186.091597,93,16.103735
-109.679039,96,16.388216
-118.788774,68,16.626384
-386.609642,97,16.974676
-406.388888,90,17.306378
-89.324784,76,17.606641
-236.132836,89,17.984888
-236.166077,106,18.384859
-312.876059,99,18.712411
-102.665257,61,18.89099
-152.254356,85,19.160542
14.333945,102,19.516551
-278.160619,99,19.865154
-94.656794,76,20.100129
-419.290531,110,20.451916
-10.505466,105,20.832776
-72.066518,68,21.027556
-201.247216,68,21.307034
-209.842425,52,21.477686
-484.597129,91,21.792601
-377.231764,81,22.020456
-369.967562,79,22.312777
-391.305382,100,22.666217
-206.416321,70,22.848724
-201.246237,93,23.162217
-222.154977,98,23.44717
-413.178957,94,23.760569
-255.763972,79,23.978636
-122.808235,125,24.294173
-357.258531,101,24.603524
-226.098705,69,24.816846
-136.52612,69,25.045288
-108.059937,60,25.25454
-183.796948,65,25.477272
-176.852565,80,25.797681
-114.57547,76,26.042381
-145.293387,91,26.368711
-197.612972,80,26.594706
-106.317089,66,26.760336
-390.398987,93,27.111953
-57.898959,68,27.354592
-311.028579,126,27.721741
-216.035004,98,28.014925
-80.348789,100,28.331853
-230.089162,94,28.585215
-244.4515,85,28.857112
-254.735285,112,29.30005
-355.404992,112,29.758088
-207.480107,93,30.036084
-97.38558,55,30.237529
-238.808401,72,30.467145
-101.345403,65,30.683961
