#{"t_start": 1629175892.325154, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,3.37789
-67.782128,87,3.852818
-197.924394,67,4.254334
-279.513276,105,4.910985
-123.633501,99,5.469875
-334.260422,124,6.130186
-96.12964,68,6.600547
-115.800032,128,7.407384
-122.168452,64,7.863671
-136.090989,102,8.813149
-101.234691,128,9.731558
-116.577897,109,10.542418
-80.139599,70,11.043854
-100.782603,60,11.553008
-111.614655,75,12.080676
-130.79032,79,12.652465
-103.296811,76,13.219219
-296.90333,86,13.879376
66.593887,92,14.525596
-119.317955,89,15.164665
-303.838081,100,15.748412
-47.480419,60,16.058366
-328.251215,93,16.666978
-115.874228,67,17.041425
-124.013335,98,17.59693
-162.400896,114,18.198969
-287.866378,94,18.695006
-29.70943,133,19.402447
-252.836647,95,19.930055
-287.972794,93,20.421389
-82.009008,71,20.81634
-262.687141,126,21.617345
-78.557795,63,22.043284
-274.144437,107,22.812725
-125.051999,94,23.470842
-92.124445,56,23.850396
-82.853717,76,24.422096
-181.188024,102,25.053319
-179.80773,102,25.692484
-154.844479,128,26.614721
-333.16698,112,27.324471
-208.017131,120,28.15251
-127.792325,86,28.698064
-271.997399,102,29.330376
-312.392888,87,29.892828
-261.328635,113,30.646853
-256.664426,119,31.42641
-365.040159,92,32.0952
-248.489123,104,32.76512
-119.092731,90,33.330375
-131.348908,90,33.877226
-89.509867,63,34.268126
-135.943539,68,34.705247
-122.186595,90,35.336282
-110.902424,91,35.859345
-95.616854,113,36.575809
-102.160673,63,36.947852
-131.52896,145,37.706643
-177.782549,90,38.199144
-163.841573,71,38.572799
-178.494138,74,38.986027
-73.17638,62,39.403053
-106.686439,110,40.139506
-85.800789,64,40.551469
-85.664052,57,40.879481
-123.832024,60,41.265049
-307.309531,105,41.922675
-115.839116,67,42.333025
-118.449117,101,42.947767
-254.32054,117,43.73129
-135.781423,86,44.297384
-283.584895,88,44.837385
-125.638122,64,45.2686
-91.615657,62,45.651943
-108.867398,69,46.057568
-69.418565,60,46.390867
-122.377953,86,46.942887
-86.816323,71,47.352245
-104.034209,98,47.964058
-76.01358,66,48.410252
-121.637937,67,48.861042
-84.2505,61,49.27296
-186.197601,86,49.811994
-177.575971,75,50.291372
-345.773867,85,50.808924
-197.098837,111,51.562618
-161.023907,62,51.970266
-68.044963,65,52.448842
-130.902007,104,53.158156
-138.88501,101,53.79197
-351.218908,76,54.282936
-334.300381,129,55.104567
-229.606839,103,55.840936
-375.870069,95,56.575525
-337.08505,88,57.115235
-117.555136,102,57.828403
-233.41435,146,58.708922
-115.308426,73,59.174886
-132.40928,84,59.686383
37.836105,128,60.444839
-134.777743,81,60.901936
-240.952869,129,61.883308
-237.530196,78,62.376819
-421.038689,100,63.037299
-157.213328,87,63.582972
-86.308664,56,63.921497
-111.930601,115,64.62892
-132.005735,87,65.188159
-111.205109,80,65.683488
-318.87239,97,66.361559
-364.281915,92,66.98063
-644.0834,87,67.199973
-700.847038,89,67.237461
-2718.1557,274,67.389032
-1569.755932,227,67.511087
-512.702048,81,67.545943
-95.771291,91,68.007136
-76.141068,67,68.357593
-86.639086,109,68.931494
-384.541432,124,69.619207
-400.427212,83,70.055154
-207.75913,92,70.649022
-284.909195,109,71.433516
-121.004284,110,72.226748
-323.470634,100,72.857151
-342.607743,101,73.45908
-95.479746,99,74.034512
-107.904394,146,74.92367
-347.393729,114,75.653251
-403.240599,107,76.375632
-449.603639,92,76.938564
-218.575895,105,77.590018
12.386403,1000,83.876491
-101.326619,58,84.261948
-330.810174,105,84.862814
-234.727704,86,85.426516
-128.207179,91,85.93744
-468.022923,85,86.372931
-231.730988,108,86.94954
-105.559754,83,87.401691
-289.730017,105,87.955356
-66.356879,67,88.350076
-123.882046,73,88.768695
-48.661271,77,89.209177
-117.612516,96,89.714454
-209.798914,95,90.300038
-193.883885,93,90.984455
8.582177,90,91.692273
-253.98714,87,92.296172
-73.352694,65,92.810071
16.703492,80,93.324339
-147.060814,95,93.936076
-162.11142,90,94.464308
-166.983838,65,94.857025
-118.117508,108,95.530739
-182.933175,145,96.399439
-352.709211,102,96.988076
-178.537864,65,97.520674
-62.240421,63,97.93568
-94.55158,82,98.456257
-99.131069,72,98.916759
-153.879905,130,99.627696
-291.163666,78,100.03886
-294.220684,98,100.580277
-217.356122,61,100.946198
-98.493374,80,101.380035
-88.538889,64,101.724641
-57.50932,68,102.078516
-89.950753,83,102.530133
-94.100015,85,103.00055
-183.61094,128,103.842918
-88.910454,121,104.620205
-169.537732,92,105.225083
-92.233474,70,105.644983
-587.334042,93,106.222802
-160.947911,87,106.762616
-107.770231,90,107.227905
-297.380198,73,107.660613
-79.827676,58,108.00735
-73.382265,72,108.459
-319.993226,91,109.034363
-428.91044,108,109.781704
-313.004769,101,110.420457
52.559015,83,110.945912
-69.656535,78,111.446553
-84.356997,64,111.838155
-251.118735,94,112.356201
-124.6522,97,112.933609
-127.694771,90,113.451269
-262.224028,106,114.038268
-121.436467,89,114.504551
-355.060313,96,115.040825
-135.649343,92,115.608007
-430.866123,101,116.210813
-245.074315,103,116.819507
-28.835589,95,117.414179
-252.713278,111,118.124175
-124.812088,114,118.880016
-104.439201,71,119.310982
-278.087605,88,119.856209
-77.893151,99,120.512026
-392.626793,83,121.069109
-166.447479,107,121.722744
-197.969103,82,122.173064
-79.099465,61,122.541603
-235.595896,111,123.292651
-138.091115,84,123.851706
-210.314783,101,124.498295
-289.919398,108,125.249365
-87.368428,140,126.008112
-167.064128,75,126.398402
-67.559876,87,126.873527
-80.958536,76,127.323523
-202.146426,128,128.026548
-1504.747787,205,128.541274
-576.805563,99,128.58489
-609.815009,79,128.619472
-1501.454297,184,128.709617
-531.385086,81,128.74556
-105.118124,79,129.25764
-272.001547,82,129.776263
-164.197887,106,130.397264
-69.925523,77,130.850653
-302.99796,89,131.506785
-437.232977,94,132.224117
-195.789646,75,132.725345
-453.573007,95,133.305482
-146.386967,78,133.883147
-511.688095,80,134.346696
-542.933918,75,134.91498
-1513.94968,253,136.686918
-274.774711,79,137.137663
-2442.302673,288,138.804516
-518.078275,82,139.255884
-503.980314,86,139.766928
-706.355149,129,140.513729
-852.452863,118,141.193762
-966.678077,154,142.170935
-431.378927,84,142.710333
-725.557918,157,143.852679
-684.19655,80,144.398026
-441.618334,78,144.908637
-674.113564,95,145.541077
-906.847316,121,146.275561
-253.560592,94,146.865003
-871.711273,167,147.936067
-1545.768342,210,149.20062
-1333.832056,167,150.267262
-820.470117,112,150.974198
-1816.662645,234,152.472339
-1203.497948,151,153.40678
-545.707708,60,153.763766
-735.417813,79,154.297815
-504.100933,66,154.668996
-422.357781,56,155.003456
-413.031296,53,155.321721
-451.391059,53,155.613111
-484.485102,75,156.047637
-451.653873,51,156.340155
-518.024565,58,156.672215
-338.626466,51,156.95669
-909.869374,91,157.438367
-938.383428,86,157.822098
-458.691778,53,158.056335
-439.598544,52,158.28837
-468.338992,55,158.537355
-698.866491,79,158.898415
-536.05259,62,159.179024
-396.337405,57,159.477188
-436.799073,55,159.820218
-554.635317,74,160.356034
-553.358399,59,160.736905
-659.291014,72,161.192657
-685.339997,71,161.662975
-728.151569,78,162.164428
-477.40316,64,162.598077
-525.569377,67,163.033384
-683.684643,77,163.569163
-459.639718,74,164.025044
-775.692541,83,164.62915
-393.339055,54,165.013946
-569.683854,63,165.419648
-445.749875,53,165.709104
-569.073404,66,166.046459
-441.879533,60,166.428177
-753.280223,80,167.051653
-355.779481,51,167.360512
-466.316664,62,167.824061
-534.152306,57,168.184098
-436.240096,54,168.603374
-689.691434,78,169.131476
-510.732004,58,169.498046
-583.099947,123,170.333064
-370.967983,52,170.692614
-600.623866,73,171.163038
-496.499735,64,171.549178
-563.575937,64,171.908602
-521.371115,62,172.246401
-534.315248,58,172.603166
-900.067205,83,173.082433
-338.933862,53,173.38515
-988.022627,85,173.880326
-520.391162,59,174.211724
-460.086374,60,174.541352
-790.06395,79,174.9806
-644.357807,66,175.354121
-353.296352,50,175.631778
-731.111092,76,176.082551
-467.985585,54,176.41872
-643.899958,106,177.157559
-710.413413,79,177.656736
-476.21236,62,178.052412
-492.055948,59,178.373005
-511.328661,58,178.648991
-936.876738,82,179.07007
-841.727272,77,179.678912
-467.439659,59,180.133089
-574.171723,62,180.537952
-471.8605,70,180.962952
-496.097938,56,181.341111
-854.238754,87,181.88978
-419.470897,67,182.331111
-833.89906,80,182.889106
-499.66975,57,183.245392
-767.053279,81,183.77943
-495.420405,71,184.228595
-828.945101,80,184.778331
-359.043684,52,185.085079
-586.823824,63,185.508543
-743.98328,78,185.982358
-720.473231,77,186.521112
-601.431511,72,187.018452
-404.520729,55,187.34512
-376.015531,52,187.703133
-847.046497,83,188.205102
-489.265517,55,188.555848
-336.64067,51,188.891069
-538.250946,66,189.311925
-385.265535,53,189.613973
-427.767865,52,189.942063
-456.97828,62,190.284634
-589.817657,64,190.65831
-637.340578,75,191.07362
-616.75798,72,191.212642
-540.794023,68,191.239615
-594.319946,61,191.26362
-569.496755,68,191.290661
-894.307254,86,191.32586
-322.365754,51,191.608449
-433.26673,53,191.92187
-508.32973,60,192.253748
-704.140492,77,192.737761
-550.739642,61,193.138299
-889.532951,84,193.691801
-468.793439,54,194.029835
-389.1688,47,194.351581
-665.584279,68,194.802042
-805.776958,85,195.324819
-518.795349,66,195.714793
-508.259087,69,196.133982
-554.448488,65,196.580038
-671.440054,87,197.094143
-426.324051,49,197.38802
-489.605731,75,197.802144
-385.612179,51,198.079095
-950.337672,85,198.558189
-458.878311,67,198.925595
-445.481356,53,199.231775
-682.575713,78,199.659875
-539.543904,61,200.034605
-1042.488293,87,200.625288
-430.900699,53,200.954064
-406.159007,71,201.417471
-410.906033,56,201.746905
-398.935711,59,202.123401
-842.189589,84,202.663095
-570.291666,66,203.102106
-490.352205,55,203.48796
-515.391186,60,203.887215
-590.617675,63,204.262562
-491.084981,59,204.592448
-429.97765,69,204.97067
-663.562353,70,205.379715
-616.628995,66,205.740079
-450.87247,66,206.102851
-403.014215,54,206.397133
-735.444498,83,206.853991
-661.80265,76,207.286527
-485.606461,54,207.571345
-501.241623,69,207.966169
-470.214718,55,208.299165
-630.82605,67,208.70528
-372.686462,53,209.064596
-666.098492,70,209.514945
-428.072514,51,209.861807
-695.622736,78,210.371225
-505.241885,65,210.819474
-814.465788,81,211.335511
-537.01239,69,211.773155
-389.942258,53,212.080156
-877.790226,85,212.610107
-540.097092,66,213.004011
-613.435671,80,213.513839
-537.800605,61,213.932527
-578.333156,64,214.311698
-853.488581,88,214.900799
-437.960039,58,215.245097
-385.979943,54,215.568386
-364.626532,53,215.909391
-451.450391,58,216.244079
-506.161027,59,216.623409
-721.627122,75,217.142085
-720.456995,80,217.703028
-492.326781,56,218.059931
-659.48068,76,218.497389
-381.015379,51,218.777059
-673.09363,88,219.258027
-486.612562,54,219.590401
-443.860622,53,219.878571
-571.087703,61,220.208346
-542.485413,66,220.567717
-693.927356,74,220.973581
-509.516916,76,221.388493
-683.713396,77,221.828152
-609.618072,65,222.206621
-745.584525,82,222.678463
-542.002216,66,223.037316
-462.657557,61,223.389142
-511.928166,68,223.781825
-487.933862,73,224.187348
-409.997333,56,224.491506
-633.981054,73,224.915454
-420.162874,49,225.208661
-900.343733,85,225.72791
-432.381159,76,226.185651
-505.525543,55,226.508609
-378.493429,54,226.923361
-430.73003,57,227.276861
-538.088955,58,227.734847
-787.939076,77,228.261023
-733.363879,77,228.819514
-890.656728,87,229.51601
-453.146415,59,229.873786
-555.189793,59,230.312674
-420.47531,50,230.620817
-344.639388,50,230.992294
-593.447905,64,231.416622
-952.454751,84,231.928683
-647.560383,70,232.351872
-643.983662,76,232.840507
-691.609008,79,233.380149
-724.591307,82,233.991506
-484.809712,54,234.37586
-405.690565,87,234.949097
-734.202401,80,235.555926
-848.187181,81,236.044613
-516.514207,64,236.454591
-715.198374,76,236.971982
-473.86309,53,237.301437
-526.113477,69,237.756226
-390.966377,57,238.116161
-410.661424,71,238.50845
-696.499598,73,238.911807
-852.629568,78,239.36179
-420.572603,57,239.678312
-779.769884,75,240.092792
-701.2223,80,240.529549
-390.422474,52,240.812876
-494.86078,54,241.122396
-723.286884,78,241.552421
-346.566555,51,241.8327
-790.651775,74,242.255581
-639.329858,68,242.664619
-835.355187,83,243.30635
-467.93911,74,243.77119
-463.556569,58,244.151392
-497.249731,73,244.58689
-829.336771,81,245.100501
-514.070617,55,245.44929
-847.335839,84,246.034265
-432.9237,54,246.352094
-467.34343,54,246.676086
-357.186047,51,247.028516
-524.589868,62,247.4176
-796.29722,76,247.950091
-777.159559,78,248.473047
-341.895446,51,248.845021
-571.844616,61,249.265536
-750.645952,81,249.793404
-719.366598,73,250.320443
-447.408982,51,250.634443
-537.290843,60,250.990542
-576.762591,63,251.384428
-454.911752,53,251.724784
-483.120373,55,252.089893
-455.797632,54,252.432718
-594.639379,66,252.904685
-672.071274,75,253.374321
-550.797193,66,253.576209
-570.612875,62,253.601249
-701.202173,69,253.630121
-667.466539,78,253.662703
-644.173142,70,253.691478
-399.429593,48,254.037488
-502.501958,72,254.464857
-731.507703,81,254.937815
-842.545937,78,255.368233
-643.994735,70,255.753337
-748.671836,82,256.250758
-574.473841,63,256.603535
-505.87762,64,257.009943
-973.074602,88,257.568988
-563.627959,63,257.983191
-787.758679,83,258.594037
-654.012952,75,259.07944
-436.972929,50,259.486573
-576.346129,72,259.946356
-754.868038,78,260.546959
-662.448544,97,261.273176
-517.799447,64,261.726354
-782.064957,86,262.380107
-508.477317,56,262.812298
-459.951098,60,263.262155
-393.855327,50,263.57699
-563.097924,63,263.964273
-1319.22839,105,264.563009
-455.29093,55,264.883693
-739.439888,71,265.308687
-769.438887,86,265.817326
-684.759649,76,266.272417
-541.406819,61,266.609902
-868.344516,84,267.118088
-524.481781,67,267.493831
-700.849826,75,268.004619
-704.221382,73,268.488619
-492.032832,62,268.870296
-439.595624,57,269.240216
-764.005114,79,269.76869
-423.286556,64,270.212476
-487.144119,63,270.643308
-627.62691,72,271.090223
-658.831719,80,271.574537
-776.267528,86,272.12342
-603.752289,66,272.565088
-518.139189,56,272.921366
-326.416092,50,273.225868
-505.867935,71,273.686906
-351.595665,92,274.31504
-598.724903,64,274.743196
-409.081826,53,275.113725
-471.873778,62,275.513781
-561.902766,70,275.922213
-728.045611,82,276.385715
-515.470412,70,276.802754
-896.686364,83,277.261954
-710.421607,80,277.691479
-698.739109,93,278.253589
-526.719125,60,278.644557
-509.862844,65,279.138002
-416.311372,49,279.430079
-523.742157,66,279.901435
-694.366707,77,280.384198
-368.727612,71,280.855309
-553.242281,68,281.262154
-388.648176,53,281.647531
-730.553985,74,282.20944
-594.765971,66,282.660579
-382.733639,53,282.983565
-553.166573,63,283.361712
-398.792999,55,283.756468
-539.928723,61,284.18839
-338.659554,50,284.538072
-662.222968,77,285.094161
-437.683845,73,285.617683
-496.796172,58,285.978427
-471.793404,64,286.334083
-445.650522,61,286.715154
-432.471399,59,287.048389
-516.578703,57,287.364096
-450.061504,67,287.740444
-528.723202,57,288.060714
-816.849264,87,288.573493
-399.371136,50,288.852307
-612.676142,69,289.235192
-396.761052,51,289.516868
-431.905892,50,289.791086
-413.543376,52,290.078604
-606.474152,68,290.456866
-525.627059,58,290.800774
-517.187223,62,291.182446
-422.962488,54,291.53514
-469.506168,68,292.026974
-708.944068,78,292.553404
-437.550924,60,292.952387
-441.9157,58,293.325504
-425.267886,52,293.638373
-445.269099,53,293.960782
-445.486492,61,294.339283
-487.42428,55,294.692971
-543.003013,61,295.16046
-772.468066,75,295.659204
-391.902826,53,295.984546
-535.744123,61,296.408862
-599.300827,67,296.839127
-462.848151,56,297.205252
-408.704656,55,297.55973
-643.59705,79,298.091543
-632.27739,71,298.620023
-557.800275,67,299.054455
-581.930211,64,299.493768
-533.871681,67,299.938615
-492.557525,72,300.37774
-504.974573,57,300.78063
-501.415352,61,301.195847
-400.637068,72,301.765156
-489.872869,64,302.147753
-469.772887,61,302.577673
-366.40357,49,302.966527
-327.028252,51,303.390055
-523.494968,64,303.767611
-642.649079,77,304.240337
-551.113429,63,304.601302
-675.473018,68,305.01263
-727.634463,77,305.470264
-435.732739,51,305.773603
-414.054086,58,306.113441
-493.754453,64,306.597708
-749.220237,75,307.049938
-391.939475,53,307.441269
-554.274021,68,307.899556
-529.683384,87,308.465093
-831.638382,79,308.991553
-632.983023,97,309.711455
-513.130009,62,310.126277
-489.559696,55,310.520196
-761.149866,82,311.099773
-1011.143116,115,311.917376
-821.826199,95,312.505621
-591.376024,72,312.910646
-359.654853,53,313.218144
-568.436283,69,313.646209
-704.165752,79,314.110748
-442.599157,55,314.413161
-834.999039,85,314.884201
-478.008047,60,315.245944
-585.376018,63,315.595374
-583.104466,62,315.961577
-342.897021,49,316.285788
-394.097295,56,316.626986
-761.912096,83,317.162959
-448.750947,74,317.667824
-783.182868,86,317.960775
-492.630546,62,317.985806
-599.830084,61,318.011038
-495.230249,66,318.039085
-563.513377,62,318.063989
-467.641842,55,318.422427
-603.603457,64,318.852548
-487.932854,62,319.234041
-423.377043,56,319.578096
-510.385713,58,320.022816
-462.884115,60,320.313922
-382.93355,52,320.571171
-514.524305,64,320.962113
-1051.479086,88,321.53994
-864.675829,79,322.076027
-386.065164,117,322.852674
-598.235421,72,323.335954
-617.040468,64,323.825826
-460.315735,52,324.188813
-729.054152,73,324.635048
-483.289412,64,325.070826
-561.839679,70,325.469218
-345.460433,52,325.758391
-682.136712,74,326.192391
-338.056924,50,326.467833
-616.874743,63,326.818105
-587.189766,71,327.213534
-608.465721,99,327.717907
-460.107228,54,328.028253
-637.112247,68,328.402575
-412.364807,58,328.730401
-471.060031,56,329.044221
-813.392488,77,329.473351
-366.469998,50,329.749158
-553.998737,60,330.083632
-853.035719,81,330.634676
-767.318944,72,331.135488
-704.168459,70,331.620432
-558.710318,69,332.112675
-811.137935,76,332.681806
-478.308077,71,333.238427
-1076.695813,90,333.877245
-494.993076,65,334.301956
-593.297236,64,334.74058
-418.755569,58,335.153514
-666.639905,76,335.683209
-421.080801,57,336.032647
-402.383922,50,336.352923
-392.808729,54,336.766835
-481.526734,68,337.14768
-369.9925,50,337.487042
-732.636685,71,337.94562
-624.854314,74,338.412858
-788.007076,85,338.954713
-1022.854373,87,339.509092
-369.721248,50,339.818356
-805.705855,81,340.335323
-517.331717,67,340.766416
-372.869619,54,341.153834
-480.073886,57,341.51338
-419.033559,52,341.841213
-533.687411,66,342.202913
-360.845348,51,342.484672
-401.581293,53,342.780282
-316.449065,50,343.056497
-422.153821,55,343.346084
-501.255343,70,343.732562
-704.396028,70,344.11937
-788.851224,80,344.558187
-380.279178,103,345.157188
-421.761717,51,345.445004
-510.537768,58,345.789735
-639.316588,82,346.249492
-553.651363,72,346.651769
-535.543121,65,347.01673
-485.873767,68,347.39668
-434.603259,69,347.805489
-492.508355,70,348.291811
-962.343819,84,348.753643
-390.551817,52,349.145235
-798.657381,76,349.663476
-509.688437,55,349.994956
-778.98022,75,350.498624
-615.66873,71,350.950922
-758.930675,74,351.451596
-781.967898,78,351.982409
-505.118831,70,352.462032
-462.21302,62,352.886657
-425.649454,57,353.275663
-1019.543582,84,353.828181
-830.004608,76,354.305634
-645.619762,75,354.807554
-671.479668,77,355.292365
-532.000873,67,355.74119
-455.532877,62,356.115961
-728.240787,78,356.711762
-385.515434,53,357.077589
-497.710635,55,357.389965
-481.321778,64,357.797724
-764.575472,90,358.399581
-443.98752,74,358.908113
-512.403927,56,359.270912
-387.893059,50,359.577903
-583.048937,65,360.044944
-531.019636,58,360.396627
-790.057907,82,360.869203
-567.933944,61,361.204699
-445.231601,55,361.50915
-458.003179,62,361.855628
-666.368849,78,362.314363
-788.792142,83,362.807176
-521.846289,65,363.185305
-513.907574,66,363.566885
-675.551793,69,363.960899
-392.18663,54,364.309233
-562.879342,58,364.728865
-585.568204,65,365.132302
-528.757716,58,365.552926
-704.091357,70,366.019008
-535.307631,60,366.378495
-482.957546,60,366.742074
-793.471667,78,367.277923
-545.207288,60,367.753772
-793.287,81,368.294621
-491.890517,55,368.643467
-449.20334,61,369.03436
-790.869785,78,369.529582
-500.164667,72,370.087855
-613.949123,64,370.532109
-894.072708,83,371.065161
-654.054474,71,371.514695
-896.693658,79,372.030083
-502.637531,62,372.402909
-685.599064,78,372.868922
-821.262901,88,373.434297
-456.251078,58,373.800624
-516.232133,66,374.20648
-536.603857,72,374.60427
-394.686443,57,374.918422
-463.772308,61,375.256265
-798.28659,85,375.727253
-568.271334,63,376.074216
-567.955832,59,376.40103
-578.421321,66,376.764645
-660.574678,66,377.128497
-403.64404,49,377.397053
-421.661568,58,377.716373
-465.45272,55,378.017943
-811.557005,86,378.4942
-763.810903,80,378.949522
-452.996791,53,379.280661
-759.281776,75,379.723299
-537.686756,70,380.18809
-343.936696,53,380.532542
-523.605294,68,380.644872
-846.853854,81,380.678684
-377.421059,53,380.699661
-477.571664,78,380.732626
-562.150143,70,380.761376
-866.511931,84,381.312598
-432.507813,53,381.5739
-636.438328,66,381.949193
-603.942893,67,382.360849
-783.756118,81,382.888711
-472.26923,54,383.240975
-409.815572,50,383.585623
-420.867543,51,383.971085
-380.167985,82,384.542922
-628.101614,66,384.965009
-597.533805,65,385.423354
-770.448972,83,385.941103
-647.520756,67,386.433004
-584.835717,63,386.859116
-480.47635,62,387.295145
-430.54522,57,387.664639
-668.93735,74,388.16434
-774.255697,85,388.757872
-951.458552,85,389.251401
-528.657897,66,389.62344
-587.283657,69,390.064792
-369.796017,52,390.46059
-533.358459,69,390.924953
-368.636441,52,391.313973
-560.564065,77,391.87767
-577.664748,65,392.297222
-405.810758,57,392.648657
-512.0358,59,393.021884
-379.751758,52,393.341419
-706.627455,73,393.826189
-550.431445,59,394.210314
-555.437349,71,394.690932
-741.668732,79,395.246659
-641.896562,77,395.701476
-466.855755,64,396.056286
-389.63096,52,396.343966
-523.732709,57,396.662747
-617.486923,74,397.07156
-366.786268,52,397.381734
-490.981115,70,397.775588
-491.852317,55,398.085812
-684.321508,71,398.48419
-506.006909,63,398.836505
-469.213144,56,399.14941
-454.436803,53,399.443766
-447.746787,51,399.728707
