#{"t_start": 1629380111.8497202, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,3.089593
-67.782128,87,3.104453
-197.924394,67,3.115692
-279.513276,105,3.133056
-123.633501,99,3.149001
-334.260422,124,3.171502
-96.12964,68,3.182319
-115.800032,128,3.204298
-122.168452,64,3.214355
-136.090989,102,3.231444
-101.234691,128,3.253066
-116.577897,109,3.271179
-80.139599,70,3.282892
-100.782603,60,3.292131
-111.614655,75,3.304379
-130.79032,79,3.317529
-103.296811,76,3.330295
-296.90333,86,3.344945
66.593887,92,3.365457
-119.317955,89,3.379747
-303.838081,100,3.396596
-47.480419,60,3.406178
-328.251215,93,3.423044
-115.874228,67,3.433585
-124.013335,98,3.450278
-162.400896,114,3.470605
-287.866378,94,3.485345
-17.704605,146,3.639743
-348.361227,111,3.962449
-217.330582,80,4.214413
-124.990552,64,4.392596
-259.031767,114,4.71616
-77.080786,60,4.902521
-174.589072,97,5.189522
-172.747827,121,5.493617
-117.982731,117,5.767333
-72.442238,61,5.913404
-111.983111,78,6.140854
-131.748583,67,6.336127
-116.740718,70,6.575448
-84.643757,138,7.032176
-103.363266,70,7.259718
-151.110065,108,7.590169
-173.029863,91,7.888783
-136.961751,74,8.059154
-109.919277,90,8.291441
-140.888591,111,8.543795
-114.15193,85,8.741971
-103.182487,114,9.000743
-243.399683,88,9.205016
-136.589835,91,9.434411
-136.74328,103,9.678644
25.290274,101,9.984256
-195.830866,79,10.178308
-88.820244,74,10.375951
-235.62402,99,10.68507
-134.142434,114,11.05569
-91.546936,68,11.258256
-116.296983,68,11.48355
-324.36858,107,11.86069
-199.2624,163,12.262473
-81.978647,76,12.479558
-278.77832,120,12.862882
-90.128169,92,13.193826
-274.276069,78,13.405088
-78.309335,60,13.583433
-93.849818,67,13.751679
-165.043483,113,14.094794
-67.833624,107,14.470509
-85.262936,76,14.659483
-82.254006,69,14.848775
-113.237831,103,15.180619
-123.034065,158,15.638399
-224.540253,75,15.863064
-122.184092,76,16.112523
-96.146351,53,16.247932
-172.180106,73,16.489949
-114.716658,63,16.668339
-85.715117,63,16.870052
-141.086963,153,17.336894
-128.861925,74,17.580816
-194.161788,109,17.817627
-333.158382,88,17.985098
-196.254488,64,18.110819
-180.553923,138,18.470251
-221.211295,114,18.836265
-91.7066,135,19.171292
-63.116924,73,19.399674
-104.281982,100,19.672848
-5.065846,66,19.875341
-116.997616,121,20.191761
-115.451539,143,20.594611
-146.712281,104,20.930514
-135.084949,64,21.095856
-93.983087,87,21.35279
-123.349307,79,21.532397
-102.653872,74,21.702617
-168.63899,143,22.041733
-103.987285,134,22.383209
-105.86614,82,22.605891
-74.790277,69,22.789137
-132.669331,86,23.013749
-267.487391,98,23.259103
-154.920858,91,23.470725
-109.9109,86,23.670649
-254.311908,74,23.86151
-76.579028,62,24.025649
-174.048995,88,24.333386
-2.210012,193,30.9413
-88.490998,93,31.220138
-95.620987,122,31.541888
-113.119946,60,31.687313
-162.735608,85,31.958756
-145.202725,102,32.228205
-66.718716,92,32.470923
-63.241947,78,32.667974
-50.726418,99,32.858913
-84.582367,106,33.091191
-78.633868,78,33.3504
-123.834956,78,33.542962
-112.363011,122,33.844983
-76.628902,78,34.105963
-119.175248,117,34.401066
-368.88093,85,34.646457
-118.171775,119,34.996739
-79.410736,90,35.253577
-104.171621,131,35.570013
-134.440997,89,35.821464
-182.848882,99,36.067171
-85.442686,121,36.350007
-95.345428,70,36.53258
-324.079505,99,36.76918
-46.949457,69,36.93158
-130.258833,115,37.207832
-8.605412,98,37.434658
-89.67756,82,37.620151
-82.677583,119,37.947103
