#{"t_start": 1629380091.7583737, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,2.996953
-67.782128,87,3.012204
-197.924394,67,3.023211
-279.513276,105,3.040831
-123.633501,99,3.056494
-334.260422,124,3.07689
-96.12964,68,3.087161
-115.800032,128,3.10826
-122.168452,64,3.118284
-136.090989,102,3.135182
-101.234691,128,3.1572
-116.577897,109,3.175758
-80.139599,70,3.187081
-100.782603,60,3.196232
-111.614655,75,3.208563
-130.79032,79,3.22173
-103.296811,76,3.234013
-296.90333,86,3.247834
66.593887,92,3.264043
-119.317955,89,3.278741
-303.838081,100,3.296506
-47.480419,60,3.306117
-328.251215,93,3.322976
-115.874228,67,3.333432
-124.013335,98,3.350217
-162.400896,114,3.370627
-287.866378,94,3.38528
-29.70943,133,4.139866
-234.714529,99,6.396578
-153.103749,108,8.968458
-94.984213,65,10.441155
-205.359919,101,12.812767
-70.720784,62,14.100113
-97.374845,71,15.712397
-137.068705,61,17.154228
-304.645094,107,19.642841
-120.574871,81,21.442011
-105.602103,118,24.126339
-58.223689,61,25.475041
-119.794736,79,27.395983
-86.461666,87,29.264995
-77.757045,95,31.407653
-182.456575,119,34.309169
-190.904943,98,36.61905
2.021721,85,38.593688
-90.700367,112,41.102069
-141.555152,100,43.233774
-189.182749,68,44.713802
-116.754265,128,47.539833
-174.131976,72,49.130777
-64.842366,72,50.742705
-93.86785,89,52.716618
-44.397647,64,54.13542
-194.459613,112,56.596587
-90.697481,61,57.889656
-145.955856,109,60.365233
-123.089875,88,62.293011
-152.186304,118,64.911458
-57.101751,77,66.699539
-354.910033,120,69.294483
-111.520711,117,71.861031
-97.770576,86,73.768107
-402.192774,82,75.604315
-438.993286,109,78.090997
-104.844127,58,79.377884
-230.782929,110,81.830602
-305.001374,89,83.799849
-61.862746,85,85.732376
-142.918182,126,88.3693
-100.377289,97,90.536587
-102.83652,84,92.407466
-279.703485,75,94.187807
-77.664841,76,95.878466
-106.174108,105,98.179067
-74.071448,68,99.656052
-175.772779,134,102.82427
-164.401851,74,104.528868
-174.113233,118,107.218878
-253.024812,108,109.613809
-312.960333,98,111.745618
-102.906132,72,113.420214
-236.382981,85,115.292609
-81.570329,129,118.088978
-218.78168,63,119.469377
-401.15823,130,122.393742
-100.287511,101,124.691551
-78.761623,65,126.131407
-156.367076,114,128.580703
-126.983564,115,131.222243
-255.86935,97,133.42872
-169.859681,138,136.44155
-68.771492,84,138.326413
-109.551012,122,141.034717
-149.466729,119,143.727593
-48.442026,65,145.110551
-163.135684,92,147.182511
-364.775647,111,149.710808
-83.137375,72,151.289039
-82.393009,92,153.357099
-112.54152,128,156.328085
-110.454846,103,158.648814
-113.700461,69,160.262569
-231.04199,113,162.869317
-114.698726,79,164.764076
-108.193477,77,166.606622
-243.28275,117,169.238353
-121.962067,113,171.832999
-110.155734,87,180.487552
-104.338644,93,182.592619
-148.463103,95,184.778801
-93.330519,79,186.566162
-102.6922,64,187.993856
-176.445001,119,190.662832
-113.497225,69,192.234775
-96.790351,112,194.86335
-106.017359,102,197.247919
-254.146748,116,199.809224
-95.934593,88,201.784236
-118.075562,83,203.641985
-64.786726,62,204.999339
-186.539155,77,206.719764
-60.137463,71,208.386088
-54.576135,70,209.951334
-124.424611,72,211.523294
