#{"t_start": 1629380366.0549357, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,3.756636
-67.782128,87,3.771155
-197.924394,67,3.782563
-279.513276,105,3.80004
-123.633501,99,3.818746
-334.260422,124,3.839275
-96.12964,68,3.849808
-115.800032,128,3.87254
-122.168452,64,3.882866
-136.090989,102,3.90016
-101.234691,128,3.922702
-116.577897,109,3.942642
-80.139599,70,3.959784
-100.782603,60,3.97348
-111.614655,75,3.987239
-130.79032,79,4.000013
-103.296811,76,4.012124
-296.90333,86,4.025759
66.593887,92,4.043596
-119.317955,89,4.060552
-303.838081,100,4.077529
-47.480419,60,4.08714
-328.251215,93,4.104234
-115.874228,67,4.117971
-124.013335,98,4.143111
-162.400896,114,4.17288
-287.866378,94,4.187342
-29.70943,133,4.353574
-252.836647,95,4.740352
-247.526779,96,5.140378
-143.344297,62,5.398782
-308.020544,114,6.002995
-215.302945,97,6.428293
-364.075718,121,6.867276
-274.27129,85,7.062927
-222.300267,108,7.336948
-46.754077,74,7.558006
-60.32823,62,7.71417
-108.655851,102,8.027854
-89.180896,89,8.285452
-135.127049,109,8.718522
-108.902461,75,9.065902
-89.02495,70,9.4019
-147.334886,60,9.617306
-102.106088,106,10.086257
-313.385766,97,10.488825
-317.087571,129,11.134853
-227.576541,113,11.63402
-83.079556,91,12.043669
-297.819574,101,12.476477
-147.488723,93,12.885984
13.030993,97,13.301564
-391.8696,138,13.88648
-110.442526,73,14.259265
-390.542816,98,14.761748
-107.68987,101,15.253288
-132.605354,118,15.758042
-146.091346,115,16.236982
-229.9683,110,16.634463
-183.454409,95,16.87275
-196.373083,106,17.129144
-96.940432,93,17.356114
-276.945958,97,17.63623
-48.099672,72,17.776596
-393.665051,99,17.994835
-120.899378,113,18.467727
-130.712273,107,18.943266
-340.264924,120,19.500969
-113.329145,117,19.978683
-218.461162,99,20.432901
-75.682264,86,20.786231
-27.702664,136,21.394444
-157.956009,76,21.738682
-243.498698,102,22.148824
-277.692926,108,22.678871
-85.085382,79,23.032725
