#{"t_start": 1629380353.4398837, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,3.037244
-67.782128,87,3.053591
-197.924394,67,3.064338
-279.513276,105,3.082162
-123.633501,99,3.097761
-334.260422,124,3.117984
-96.12964,68,3.128325
-115.800032,128,3.149829
-122.168452,64,3.159493
-136.090989,102,3.179095
-101.234691,128,3.208149
-116.577897,109,3.226659
-80.139599,70,3.237509
-100.782603,60,3.246665
-111.614655,75,3.259134
-130.79032,79,3.272527
-103.296811,76,3.284886
-296.90333,86,3.29977
66.593887,92,3.317516
-119.317955,89,3.333329
-303.838081,100,3.35052
-47.480419,60,3.360447
-328.251215,93,3.377708
-115.874228,67,3.388858
-124.013335,98,3.407316
-162.400896,114,3.429374
-287.866378,94,3.445441
-29.70943,133,3.840568
-244.736027,98,4.58818
-263.998156,96,5.338809
-158.488552,96,6.072603
-58.831597,84,6.74315
-97.991951,56,7.141344
-166.433308,106,8.036851
-98.666474,91,8.777222
-91.073468,66,9.266395
-16.370759,104,10.165008
-141.183328,96,10.97765
-117.762012,68,11.462817
9.41322,118,12.45923
-232.910888,91,13.269404
-136.565245,115,14.405751
-99.234289,110,15.430359
-186.203405,105,16.406659
-112.38101,93,17.261861
-97.977137,84,17.952183
-486.754368,119,18.997793
-228.454065,107,19.865717
-279.555728,72,20.307085
5.069387,86,20.918302
-115.983651,112,21.865619
-106.962188,117,22.827442
-83.393545,92,23.668997
-181.923054,105,24.608601
-133.517478,66,25.200332
-255.577179,102,26.117876
-176.222546,72,26.855862
-25.105427,86,27.674942
-92.161046,99,28.619722
-229.160261,107,29.626964
-93.394349,90,30.32648
-66.679613,69,30.918027
-107.281474,84,31.720962
-91.659758,80,32.473923
-117.099493,80,33.20742
-114.419586,75,33.91941
-305.301735,117,34.861091
-124.951975,97,35.657282
-128.343071,94,36.404722
-54.736559,67,36.990782
-94.146301,100,37.966621
-84.503131,93,38.792371
-75.14251,103,39.613303
-82.075761,76,40.218186
-409.621137,96,40.940458
34.95135,68,41.59537
-53.095929,64,42.223132
-273.26224,92,43.073689
-25.851416,99,43.916619
-303.249822,109,44.821215
-216.430883,84,45.508897
-53.433192,106,46.394797
-328.801856,108,47.355062
-87.365921,89,48.142553
-296.979261,103,49.029625
-261.593751,84,49.813247
-129.397784,113,50.76548
-170.278141,76,51.467694
-107.944422,90,52.238703
-202.319741,135,53.389396
-29.929894,79,54.016773
-63.240347,87,54.66741
-100.186234,92,55.499886
-162.149719,113,56.512431
-331.751689,123,57.601339
-203.050132,86,58.345514
-106.230645,117,59.229455
-168.08188,80,59.908631
-58.076972,119,60.898115
-71.243338,75,61.463403
-114.177629,59,61.969534
-112.084015,79,62.649831
-106.26186,111,63.621181
-163.908778,119,64.701233
-87.825343,114,65.66257
-331.780399,138,66.80262
-209.524426,98,67.51552
-85.341604,85,75.550176
-150.582284,94,76.201259
-114.647397,106,77.156375
-206.393789,129,78.317166
-122.307308,95,79.187357
-118.931982,98,80.02968
-65.49226,75,80.774565
-87.713586,81,81.400991
-112.566886,107,82.188617
-94.264438,56,82.688646
-106.888847,61,83.338876
-59.013167,69,83.943615
-123.95426,75,84.586652
-106.858183,111,85.607035
-72.654912,72,86.21058
-79.890741,67,86.830293
-388.408553,115,87.847389
-56.818626,74,88.456573
-163.497429,124,89.44171
-159.79476,128,90.501819
-111.606897,114,91.312174
-84.269569,81,91.967509
-71.672573,77,92.641789
-139.56957,104,93.54304
-133.514046,89,94.302668
-96.600292,118,95.293091
-225.466453,110,96.286378
-149.29415,81,97.058658
-51.126549,71,97.692598
-114.926774,83,98.418237
-131.16328,143,99.685246
-185.321615,124,100.717931
-90.763684,66,101.236705
-84.822541,91,102.021378
-124.744874,69,102.611641
-76.016631,87,103.337978
-201.554705,153,104.595446
-87.124179,69,105.173988
-38.931337,105,106.124874
