#{"t_start": 1628179434.8719249, "env_id": "LunarLander-v2"}
r,l,t
-141.062651,67,5.375061
-67.782128,87,5.61029
-197.924394,67,5.809578
-279.513276,105,6.117137
-153.449769,97,6.383841
-63.163508,64,6.556728
-356.430984,86,6.806782
-96.607157,68,7.016523
-41.685916,118,7.358797
-320.824208,94,7.621306
-209.8257,109,7.925336
-128.66469,94,8.1717
-271.895658,101,8.439435
-111.066478,86,8.717346
-251.991528,120,9.073547
-208.82215,65,9.25482
-121.32837,75,9.48768
-104.135772,100,9.766685
-275.919048,104,10.055272
-133.468075,84,10.304541
-168.091458,73,10.504443
-285.156808,70,10.698198
-139.884222,110,11.02053
-219.12107,96,11.291519
-147.971543,98,11.598013
-120.840474,100,11.874182
-63.737959,62,12.045571
-73.287412,71,12.240784
-100.951019,91,12.490602
-245.421386,104,12.77572
-201.204244,82,12.995059
-302.709506,106,13.286977
-232.79255,107,13.595202
-165.776654,87,13.852725
-157.336926,61,14.022026
-212.865567,95,14.286301
-93.899847,86,14.523859
-106.549323,83,14.754239
-77.823288,62,14.925253
-214.393374,128,15.29454
-151.270702,126,15.643537
-183.564773,104,15.931988
-138.218734,109,16.224159
-206.949475,65,16.396259
-148.087078,101,16.660127
-71.938379,92,16.944569
-118.036385,90,17.193571
-180.753734,103,17.523304
-29.597512,104,17.836325
-160.579801,89,18.102302
-329.816879,76,18.308582
-215.833022,104,18.599259
-104.29244,110,18.930049
-103.985237,74,19.171221
-301.379148,85,19.447578
-288.071102,108,19.749359
-295.570635,106,20.077801
-93.898754,64,20.255772
-68.586951,75,20.477337
-63.661213,123,20.805547
-188.62983,64,20.980193
-77.614783,77,21.214301
-300.060102,95,21.47986
-95.870616,94,21.739596
-112.050067,134,22.133794
-6.475711,95,22.433379
-92.717542,123,22.788435
-159.35381,110,23.061405
-117.762,81,23.241565
-148.696448,142,23.564155
-94.469851,91,23.788922
-105.553847,97,24.056775
8.442808,130,24.464778
-207.404875,122,24.800657
-87.265325,87,25.041354
-132.462543,92,25.313303
-157.454735,104,25.603113
-183.65667,121,25.941514
-120.595316,74,26.150451
-50.899352,75,26.371731
-207.535194,129,26.755091
-203.849958,92,27.021299
-116.497963,62,27.19366
-60.484186,66,27.377673
-175.625426,80,27.598566
-84.162242,72,27.804615
-135.170172,95,28.093873
-224.809874,97,28.365353
-68.612153,64,28.545616
-175.394698,128,28.90782
-84.810521,117,29.257448
-123.133811,96,29.527324
-345.432918,101,29.815773
-137.467637,104,30.134247
-156.259505,106,30.458624
-141.387125,93,30.716156
-62.931154,82,30.943449
-237.664639,68,31.129795
-145.828658,89,31.376367
-153.446054,135,31.750027
-144.002062,115,32.074666
-117.247645,78,32.289387
-101.950728,77,32.501378
-158.929043,149,32.916156
-137.511391,114,33.235495
-548.071368,92,33.583814
-1668.104244,198,33.680218
-637.641486,112,33.72811
-563.66765,117,33.778666
-353.613614,83,33.813425
-190.625206,120,34.180938
36.708331,129,34.579675
-82.238388,111,34.896366
-45.236131,67,35.083356
-117.638559,67,35.28069
-196.674687,105,35.522229
-85.638116,92,35.815442
-99.903708,82,36.053038
-41.477662,81,36.282546
-93.901977,133,36.655586
-138.728453,84,36.890925
-70.487611,92,37.151134
-69.195543,66,37.336837
-93.853187,92,37.598169
-56.607363,77,37.831602
-288.324582,114,38.169175
-198.347998,109,38.47389
-111.161616,103,38.780872
-151.63134,108,39.086906
-23.90128,69,39.300289
-82.725248,68,39.489903
-104.009858,107,39.788115
-68.160895,93,40.018139
-163.632296,106,40.257442
-93.640381,117,40.52137
-131.138613,106,40.760894
-36.56071,163,41.133379
-76.384882,77,41.308793
-18.559416,128,41.600929
-50.223254,90,41.805307
-4.558412,93,42.017459
-99.247205,129,42.379023
-72.9595,125,42.726466
-35.261163,127,43.083017
-131.192645,102,43.368728
-80.784612,133,43.719985
-97.115302,79,43.962081
-50.609127,158,44.411113
-78.752593,193,44.960321
-81.056528,110,45.283788
-108.098607,111,45.594502
-69.993293,102,45.875888
-274.242452,160,46.360268
-60.100549,104,46.695469
-12.370305,198,47.258023
-236.192374,114,47.576825
-89.589292,108,47.893296
-61.137805,96,48.162172
-55.371512,89,48.413043
-90.221906,74,48.618055
-72.195443,141,49.016804
-73.69872,152,49.469855
-84.858908,103,49.763107
-129.573732,141,50.162167
-206.543896,110,50.489383
-100.693979,100,50.769878
-233.470111,96,51.050716
-36.686419,78,51.267397
-227.309171,108,51.570734
-109.225424,117,51.899486
-54.317383,171,52.416131
-26.674011,145,52.819729
-28.023601,96,53.136408
-141.480459,87,53.381529
-20.196848,85,53.63925
-222.868202,148,54.083911
-75.080755,99,54.362291
-218.973617,125,54.744012
-59.425244,98,55.02552
-219.255972,149,55.444293
-98.15541,74,55.649943
-46.653683,91,55.904567
-149.828666,148,56.32153
-56.118383,109,56.626398
-97.280783,124,56.971565
-127.838622,147,57.390295
-115.760421,63,57.585146
-215.81569,98,57.86224
-46.26026,93,58.120125
-158.666184,158,58.562348
-85.968411,74,58.770996
-37.927156,95,59.041855
-84.363277,97,59.315198
-84.787829,124,59.666453
-86.551987,115,59.997453
-28.299598,69,60.192615
-57.342947,171,60.681379
-58.466586,126,61.041602
-89.242976,125,61.394431
-79.347278,118,61.727451
5.758625,89,61.959902
-26.63832,67,61.983832
-166.149423,1000,63.170564
-14.896035,65,63.193304
-7.90396,57,63.213135
-97.917452,106,63.513477
13.695525,122,63.858931
-85.660121,86,64.100649
-206.069208,135,64.502085
-17.194231,133,64.906753
-132.726661,127,65.2527
-36.188268,105,65.561976
-58.864661,143,65.991361
-25.91526,163,66.476906
-66.258632,114,66.807303
-83.997929,155,67.254471
-0.59567,176,67.761903
-88.914713,137,68.148308
-58.739041,156,68.595348
-56.778068,118,68.933797
-46.589968,113,69.258331
-60.598395,92,69.515158
-34.353804,171,70.021801
-32.850785,149,70.462481
21.791427,113,70.805876
-71.776251,139,71.205285
-106.821657,102,71.495491
-11.339199,68,71.689139
-45.407187,137,72.128026
-29.850162,172,72.660098
-74.858169,143,73.078534
-42.059251,192,73.643794
59.445411,1000,76.996831
9.678923,157,77.469375
-148.103879,101,77.770324
-15.943601,198,78.356052
-161.136441,129,78.725372
-146.942237,120,79.073488
-12.51009,268,79.874814
-126.69162,166,80.370385
-45.614537,235,81.06466
-47.337713,123,81.41492
-15.425738,203,82.005569
-11.949731,121,82.35144
-31.585713,83,82.58691
-176.077684,164,83.060614
-45.180698,273,83.874866
-35.172823,136,84.267444
-58.190724,239,84.999138
-46.748637,221,85.709808
-49.048793,130,86.088165
